Robert_Aderholt,Rep,Robert,Aderholt,R,AL,M,47
senalexander,Sen,Lamar,Alexander,R,TN,M,72
USRepAlexander,Rep,Rodney,Alexander,R,LA,M,66
repjustinamash,Rep,Justin,Amash,R,MI,M,32
markamodeinv2,Rep,Mark,Amodei,R,NV,M,54
BachusAL06,Rep,Spencer,Bachus,R,AL,M,65
RepJoeBarton,Rep,Joe,Barton,R,TX,M,63
repbecerra,Rep,Xavier,Becerra,D,CA,M,55
SanfordBishop,Rep,Sanford,Bishop,D,GA,M,66
blumenauermedia,Rep,Earl,Blumenauer,D,OR,M,64
RoyBlunt,Sen,Roy,Blunt,R,MO,M,63
SpeakerBoehner,Rep,John,Boehner,R,OH,M,63
senatorboxer,Sen,Barbara,Boxer,D,CA,F,72
RepKevinBrady,Rep,Kevin,Brady,R,TX,M,57
RepCorrineBrown,Rep,Corrine,Brown,D,FL,F,66
SenSherrodBrown,Sen,Sherrod,Brown,D,OH,M,60
senatorburr,Sen,Richard,Burr,R,NC,M,57
RepBrady,Rep,Robert,Brady,D,PA,M,68
JohnBoozman,Sen,John,Boozman,R,AR,M,62
timbishopny,Rep,Timothy,Bishop,D,NY,M,62
MarshaBlackburn,Rep,Marsha,Blackburn,R,TN,F,60
repjobonner,Rep,Jo,Bonner,R,AL,M,53
CandiceMiller,Rep,Madeleine,Bordallo,D,GU,F,79
michaelcburgess,Rep,Michael,Burgess,R,TX,M,62
RepRobBishop,Rep,Rob,Bishop,R,UT,M,61
gkbutterfield,Rep,George,Butterfield,D,NC,M,65
repjohnbarrow,Rep,John,Barrow,D,GA,M,57
RepBoustany,Rep,Charles,Boustany,R,LA,M,57
MicheleBachmann,Rep,Michele,Bachmann,R,MN,F,57
RepGusBilirakis,Rep,Gus,Bilirakis,R,FL,M,50
brucebraley,Rep,Bruce,Braley,D,IA,M,55
VernBuchanan,Rep,Vern,Buchanan,R,FL,M,61
SenJohnBarrasso,Sen,John,Barrasso,R,WY,M,60
RepPaulBrounMD,Rep,Paul,Broun,R,GA,M,66
SenatorBegich,Sen,Mark,Begich,D,AK,M,51
SenBennetCo,Sen,Michael,Bennet,D,CO,M,48
RepLouBarletta,Rep,Lou,Barletta,R,PA,M,57
RepKarenBass,Rep,Karen,Bass,D,CA,F,59
CongressmanDan,Rep,Dan,Benishek,R,MI,M,60
RepDianeBlack,Rep,Diane,Black,R,TN,F,62
RepMoBrooks,Rep,Mo,Brooks,R,AL,M,58
RepLarryBucshon,Rep,Larry,Bucshon,R,IN,M,50
SenBlumenthal,Sen,Richard,Blumenthal,D,CT,M,67
RepBonamici,Rep,Suzanne,Bonamici,D,OR,F,58
RepRonBarber,Rep,Ron,Barber,D,AZ,M,67
repkerryb,Rep,Kerry,Bentivolio,R,MI,M,61
RepAndyBarr,Rep,Garland,Barr,R,KY,M,39
RepJBridenstine,Rep,Jim,Bridenstine,R,OK,M,37
SusanWBrooks,Rep,Susan,Brooks,R,IN,F,52
RepCheri,Rep,Cheri,Bustos,D,IL,F,51
repbera,Rep,Ami,Bera,D,CA,M,48
KenCalvert,Rep,Ken,Calvert,R,CA,M,59
RepDaveCamp,Rep,Dave,Camp,R,MI,M,59
CantwellPress,Sen,Maria,Cantwell,D,WA,F,54
SenatorCardin,Sen,Benjamin,Cardin,D,MD,M,69
SenatorCarper,Sen,Thomas,Carper,D,DE,M,66
RepSteveChabot,Rep,Steve,Chabot,R,OH,M,60
SaxbyChambliss,Sen,Saxby,Chambliss,R,GA,M,69
DelegateDonna,Rep,Donna,Christensen,D,VI,F,67
clyburn,Rep,James,Clyburn,D,SC,M,72
sendancoats,Sen,Daniel,Coats,R,IN,M,69
HowardCoble,Rep,Howard,Coble,R,NC,M,82
TomCoburn,Sen,Thomas,Coburn,R,OK,M,65
SenThadCochran,Sen,Thad,Cochran,R,MS,M,75
repjohnconyers,Rep,John,Conyers,D,MI,M,83
repjimcooper,Rep,Jim,Cooper,D,TN,M,58
mikecrapo,Sen,Michael,Crapo,R,ID,M,61
senatorcollins,Sen,Susan,Collins,R,ME,F,60
RepLoisCapps,Rep,Lois,Capps,D,CA,F,75
repjoecrowley,Rep,Joseph,Crowley,D,NY,M,51
AnderCrenshaw,Rep,Ander,Crenshaw,R,FL,M,68
gopleader,Rep,Eric,Cantor,R,VA,M,49
RepShelley,Rep,Shelley,Capito,R,WV,F,59
congculberson,Rep,John,Culberson,R,TX,M,56
JudgeCarter,Rep,John,Carter,R,TX,M,71
tomcoleok04,Rep,Tom,Cole,R,OK,M,63
JohnCornyn,Sen,John,Cornyn,R,TX,M,61
repjimcosta,Rep,Jim,Costa,D,CA,M,60
repcleaver,Rep,Emanuel,Cleaver,D,MO,M,68
ConawayTX11,Rep,K.,Conaway,R,TX,M,64
RepCuellar,Rep,Henry,Cuellar,D,TX,M,57
RepJohnCampbell,Rep,John,Campbell,R,CA,M,57
YvetteClarke,Rep,Yvette,Clarke,D,NY,F,48
repcohen,Rep,Steve,Cohen,D,TN,M,63
repjoecourtney,Rep,Joe,Courtney,D,CT,M,60
SenBobCasey,Sen,Robert,Casey,D,PA,M,52
SenBobCorker,Sen,Bob,Corker,R,TN,M,60
RepAndreCarson,Rep,André,Carson,D,IN,M,38
jasoninthehouse,Rep,Jason,Chaffetz,R,UT,M,46
RepMikeCoffman,Rep,Mike,Coffman,R,CO,M,58
GerryConnolly,Rep,Gerald,Connolly,D,VA,M,63
RepJudyChu,Rep,Judy,Chu,D,CA,F,59
johncarneyde,Rep,John,Carney,D,DE,M,56
repcicilline,Rep,David,Cicilline,D,RI,M,51
RepRickCrawford,Rep,Eric,Crawford,R,AR,M,47
SenCoonsOffice,Sen,Chris,Coons,D,DE,M,49
RepCartwright,Rep,Matthew,Cartwright,D,PA,M,51
JoaquinCastrotx,Rep,Joaquin,Castro,D,TX,M,38
RepChrisCollins,Rep,Chris,Collins,R,NY,M,62
RepDougCollins,Rep,Doug,Collins,R,GA,M,46
RepPaulCook,Rep,Paul,Cook,R,CA,M,70
RepTomCotton,Rep,Tom,Cotton,R,AR,M,35
RepKevinCramer,Rep,Kevin,Cramer,R,ND,M,52
SenTedCruz,Sen,Ted,Cruz,R,TX,M,42
RepPeterDeFazio,Rep,Peter,DeFazio,D,OR,M,65
RepDianaDeGette,Rep,Diana,DeGette,D,CO,F,55
rosadelauro,Rep,Rosa,DeLauro,D,CT,F,70
john_dingell,Rep,John,Dingell,D,MI,M,86
RepLloydDoggett,Rep,Lloyd,Doggett,D,TX,M,66
USRepMikeDoyle,Rep,Michael,Doyle,D,PA,M,59
SenatorDurbin,Sen,Richard,Durbin,D,IL,M,68
MarioDB,Rep,Mario,Diaz-Balart,R,FL,M,51
SenDonnelly,Sen,Joe,Donnelly,D,IN,M,57
repteddeutch,Rep,Theodore,Deutch,D,FL,M,46
RepJeffDenham,Rep,Jeff,Denham,R,CA,M,45
RepSeanDuffy,Rep,Sean,Duffy,R,WI,M,41
RepJeffDuncan,Rep,Jeff,Duncan,R,SC,M,47
DesJarlaisTN04,Rep,Scott,DesJarlais,R,TN,M,49
RepDelBene,Rep,Suzan,DelBene,D,WA,F,51
stevedaines,Rep,Steve,Daines,R,MT,M,50
RodneyDavis,Rep,Rodney,Davis,R,IL,M,43
RepJohnDelaney,Rep,John,Delaney,D,MD,M,49
RepDeSantis,Rep,Ron,DeSantis,R,FL,M,34
repduckworth,Rep,Tammy,Duckworth,D,IL,F,45
RepEliotEngel,Rep,Eliot,Engel,D,NY,M,66
RepAnnaEshoo,Rep,Anna,Eshoo,D,CA,F,70
SenatorEnzi,Sen,Michael,Enzi,R,WY,M,69
keithellison,Rep,Keith,Ellison,D,MN,M,49
repdonnaedwards,Rep,Donna,Edwards,D,MD,F,54
RepReneeEllmers,Rep,Renee,Ellmers,R,NC,F,49
repbillenyart,Rep,William,Enyart,D,IL,M,63
RepEsty,Rep,Elizabeth,Esty,D,CT,F,53
RepSamFarr,Rep,Sam,Farr,D,CA,M,71
chakafattah,Rep,Chaka,Fattah,D,PA,M,56
senfeinstein,Sen,Dianne,Feinstein,D,CA,F,79
jeffflake,Sen,Jeff,Flake,R,AZ,M,50
Randy_Forbes,Rep,J.,Forbes,R,VA,M,61
RepTrentFranks,Rep,Trent,Franks,R,AZ,M,55
JeffFortenberry,Rep,Jeff,Fortenberry,R,NE,M,52
virginiafoxx,Rep,Virginia,Foxx,R,NC,F,69
RepFitzpatrick,Rep,Michael,Fitzpatrick,R,PA,M,49
RepBillFoster,Rep,Bill,Foster,D,IL,M,57
RepMarciaFudge,Rep,Marcia,Fudge,D,OH,F,60
RepFleming,Rep,John,Fleming,R,LA,M,61
RepFincherTN08,Rep,Stephen,Fincher,R,TN,M,40
RepChuck,Rep,Charles,Fleischmann,R,TN,M,50
farenthold,Rep,Blake,Farenthold,R,TX,M,50
RepBillFlores,Rep,Bill,Flores,R,TX,M,59
RepLoisFrankel,Rep,Lois,Frankel,D,FL,F,64
SenatorFischer,Sen,Deb,Fischer,R,NE,F,62
RepGoodlatte,Rep,Bob,Goodlatte,R,VA,M,60
GrahamBlog,Sen,Lindsey,Graham,R,SC,M,57
RepKayGranger,Rep,Kay,Granger,R,TX,F,70
ChuckGrassley,Sen,Charles,Grassley,R,IA,M,79
RepGeneGreen,Rep,Gene,Green,D,TX,M,65
LuisGutierrez,Rep,Luis,Gutierrez,D,IL,M,59
repgarrett,Rep,Scott,Garrett,R,NJ,M,53
JimGerlach,Rep,Jim,Gerlach,R,PA,M,58
RepPhilGingrey,Rep,Phil,Gingrey,R,GA,M,70
repraulgrijalva,Rep,Raúl,Grijalva,D,AZ,M,65
replouiegohmert,Rep,Louie,Gohmert,R,TX,M,59
RepAlGreen,Rep,Al,Green,D,TX,M,65
RepGaramendi,Rep,John,Garamendi,D,CA,M,68
reptomgraves,Rep,Tom,Graves,R,GA,M,43
repcorygardner,Rep,Cory,Gardner,R,CO,M,38
repbobgibbs,Rep,Bob,Gibbs,R,OH,M,58
RepChrisGibson,Rep,Christopher,Gibson,R,NY,M,48
RepGosar,Rep,Paul,Gosar,R,AZ,M,54
tgowdysc,Rep,Trey,Gowdy,R,SC,M,48
RepTimGriffin,Rep,Tim,Griffin,R,AR,M,44
RepMGriffith,Rep,H.,Griffith,R,VA,M,55
repmichaelgrimm,Rep,Michael,Grimm,R,NY,M,43
tulsipress,Rep,Tulsi,Gabbard,D,HI,F,31
RepPeteGallego,Rep,Pete,Gallego,D,TX,M,51
SenatorHarkin,Sen,Thomas,Harkin,D,IA,M,73
DocHastings,Rep,Doc,Hastings,R,WA,M,72
SenOrrinHatch,Sen,Orrin,Hatch,R,UT,M,79
USRepRHinojosa,Rep,Rubén,Hinojosa,D,TX,M,72
WhipHoyer,Rep,Steny,Hoyer,D,MD,M,73
RepMikeHonda,Rep,Michael,Honda,D,CA,M,71
RepHensarling,Rep,Jeb,Hensarling,R,TX,M,55
RepBrianHiggins,Rep,Brian,Higgins,D,NY,M,53
SenDeanHeller,Sen,Dean,Heller,R,NV,M,52
maziehirono,Sen,Mazie,Hirono,D,HI,F,65
GreggHarper,Rep,Gregg,Harper,R,MS,M,56
martinheinrich,Sen,Martin,Heinrich,D,NM,M,41
jahimes,Rep,James,Himes,D,CT,M,46
SenatorHagan,Sen,Kay,Hagan,D,NC,F,59
RepHanabusa,Rep,Colleen,Hanabusa,D,HI,F,61
RepRichardHanna,Rep,Richard,Hanna,R,NY,M,62
repandyharrismd,Rep,Andy,Harris,R,MD,M,56
RepHartzler,Rep,Vicky,Hartzler,R,MO,F,52
RepJoeHeck,Rep,Joseph,Heck,R,NV,M,51
herrerabeutler,Rep,Jaime,Herrera Beutler,R,WA,F,34
conghuelskamp,Rep,Tim,Huelskamp,R,KS,M,44
rephuizenga,Rep,Bill,Huizenga,R,MI,M,44
rephultgren,Rep,Randy,Hultgren,R,IL,M,47
RepRobertHurt,Rep,Robert,Hurt,R,VA,M,43
SenJohnHoeven,Sen,John,Hoeven,R,ND,M,56
Rep_JaniceHahn,Rep,Janice,Hahn,D,CA,F,61
RepDennyHeck,Rep,Denny,Heck,D,WA,M,60
RepHolding,Rep,George,Holding,R,NC,M,44
RepHorsford,Rep,Steven,Horsford,D,NV,M,39
RepRichHudson,Rep,Richard,Hudson,R,NC,M,41
RepHuffman,Rep,Jared,Huffman,D,CA,M,49
SenatorHeitkamp,Sen,Heidi,Heitkamp,D,ND,F,57
InhofePress,Sen,James,Inhofe,R,OK,M,78
DarrellIssa,Rep,Darrell,Issa,R,CA,M,59
RepSteveIsrael,Rep,Steve,Israel,D,NY,M,54
JacksonLeeTX18,Rep,Sheila,Jackson Lee,D,TX,F,63
RepEBJ,Rep,Eddie,Johnson,D,TX,F,77
SamsPressShop,Rep,Sam,Johnson,R,TX,M,82
SenJohnsonSD,Sen,Tim,Johnson,D,SD,M,66
RepWalterJones,Rep,Walter,Jones,R,NC,M,70
RepHankJohnson,Rep,Henry,Johnson,D,GA,M,58
Jim_Jordan,Rep,Jim,Jordan,R,OH,M,49
RepLynnJenkins,Rep,Lynn,Jenkins,R,KS,F,49
Mike_Johanns,Sen,Mike,Johanns,R,NE,M,62
repbilljohnson,Rep,Bill,Johnson,R,OH,M,58
SenRonJohnson,Sen,Ron,Johnson,R,WI,M,58
RepDaveJoyce,Rep,David,Joyce,R,OH,M,56
RepMarcyKaptur,Rep,Marcy,Kaptur,D,OH,F,66
repronkind,Rep,Ron,Kind,D,WI,M,50
RepPeteKing,Rep,Peter,King,R,NY,M,69
JackKingston,Rep,Jack,Kingston,R,GA,M,57
senatorkirk,Sen,Mark,Kirk,R,IL,M,53
stevekingia,Rep,Steve,King,R,IA,M,63
repjohnkline,Rep,John,Kline,R,MN,M,65
RepKirkpatrick,Rep,Ann,Kirkpatrick,D,AZ,F,63
USRepKeating,Rep,William,Keating,D,MA,M,60
MikeKellyPA,Rep,Mike,Kelly,R,PA,M,64
RepKinzinger,Rep,Adam,Kinzinger,R,IL,M,35
RepJoeKennedy,Rep,Joseph,Kennedy,D,MA,M,32
RepDanKildee,Rep,Daniel,Kildee,D,MI,M,54
RepDerekKilmer,Rep,Derek,Kilmer,D,WA,M,39
RepAnnieKuster,Rep,Ann,Kuster,D,NH,F,56
