Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.25 to 44,710,689,522,73.5,4.0,75.7,3.9,481,67.7,4.2,69.7,4.2,,,
.45 to 64,752,746,589,78.3,3.6,78.9,3.6,550,73.2,3.9,73.8,3.9,,,
.65 to 74,178,178,157,87.9,5.9,87.9,5.9,144,80.6,7.1,80.6,7.1,,,
.75+,149,147,124,82.9,7.4,84.3,7.2,106,70.8,9.0,72,8.9,,,
MISSOURI,,,,,,,,,,,,,,,
.Total,"4,430","4,326","3,224",72.8,2.0,74.5,2.0,"2,846",64.2,2.2,65.8,2.2,,,
.18 to 24,551,544,377,68.5,6.0,69.4,5.9,304,55.2,6.4,56,6.4,,,
.25 to 44,"1,560","1,480","1,047",67.1,3.6,70.7,3.5,912,58.4,3.8,61.6,3.7,,,
.45 to 64,"1,601","1,588","1,230",76.8,3.2,77.4,3.2,"1,132",70.7,3.4,71.3,3.4,,,
.65 to 74,398,396,326,81.9,5.8,82.4,5.8,296,74.3,6.6,74.8,6.6,,,
.75+,319,317,244,76.4,7.2,77.0,7.1,202,63.2,8.2,63.6,8.1,,,
MONTANA 2,,,,,,,,,,,,,,,
.Total,731,724,516,70.6,2.4,71.3,2.4,473,64.7,2.5,65.4,2.5,,,
.18 to 44,319,314,197,61.7,3.8,62.8,3.8,172,54.1,3.9,55.0,3.9,,,
.45 to 64,252,250,190,75.5,3.8,75.9,3.8,180,71.4,4.0,71.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.65+,161,160,129,80.5,4.4,80.9,4.4,121,75.2,4.8,75.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,308","1,253",939,71.8,2.4,74.9,2.3,844,64.5,2.6,67.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.18 to 24,182,171,94,51.7,7.2,55.1,7.2,75,41.5,7.1,44.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.25 to 44,448,415,300,67.0,4.3,72.3,4.1,257,57.5,4.5,62,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.45 to 64,454,444,363,80.0,3.6,81.7,3.5,344,75.8,3.9,77.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.65 to 74,118,115,91,77.2,7.5,78.8,7.3,85,72.0,8.0,73.5,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.75+,107,107,91,84.8,6.7,84.8,6.7,82,76.6,7.9,76.6,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,946","1,714","1,147",59.0,2.5,66.9,2.4,"1,027",52.8,2.6,59.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.18 to 24,228,193,106,46.5,7.5,54.8,7.5,85,37.2,7.3,43.9,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.25 to 44,759,622,404,53.2,4.1,64.9,3.9,357,47.0,4.1,57.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.45 to 64,659,606,422,64.0,4.3,69.7,4.1,400,60.6,4.3,66,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.65 to 74,171,165,124,72.2,7.8,75.1,7.5,111,64.8,8.3,67.4,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.75+,130,129,92,71.2,9.0,71.8,9.0,75,58.1,9.9,58.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,,,,,,,,,,,,
.Total,"1,015",994,756,74.5,2.3,76.0,2.3,708,69.8,2.5,71.2,2.4
.18 to 24,125,125,83,65.9,7.2,66.4,7.2,72,57.3,7.5,57.7,7.5
.25 to 44,335,324,244,72.6,4.2,75.2,4.0,230,68.6,4.3,71,4.2
.45 to 64,378,373,295,78.0,3.6,79.1,3.6,281,74.3,3.8,75.3,3.8
.65 to 74,89,87,70,77.7,7.5,79.6,7.3,67,74.5,7.9,76.3,7.7
.75+,87,85,65,75.1,7.9,76.2,7.8,59,68.0,8.6,69,8.5
NEW JERSEY,,,,,,,,,,,,
.Total,"6,489","5,675","4,022",62.0,1.8,70.9,1.7,"3,637",56.0,1.9,64.1,1.8
.18 to 24,844,731,462,54.8,5.2,63.3,5.0,384,45.5,5.2,52.5,5.2
.25 to 44,"2,191","1,731","1,206",55.0,3.2,69.7,3.0,"1,080",49.3,3.2,62.4,3.1
.45 to 64,"2,370","2,181","1,613",68.1,2.9,74.0,2.7,"1,503",63.4,3.0,68.9,2.9
.65 to 74,522,502,392,75.2,5.7,78.2,5.4,380,72.9,5.9,75.8,5.6
.75+,563,530,348,61.8,6.2,65.6,6.0,290,51.5,6.3,54.7,6.3
NEW MEXICO,,,,,,,,,,,,
.Total,"1,473","1,352",937,63.6,2.5,69.3,2.4,846,57.4,2.6,62.6,2.5
.18 to 24,163,151,88,54.2,7.9,58.4,7.8,69,42.5,7.8,45.9,7.9
.25 to 44,547,486,283,51.8,4.3,58.3,4.2,239,43.7,4.3,49.2,4.3
.45 to 64,534,496,384,72.0,3.9,77.5,3.6,368,68.9,4.0,74.1,3.8
.65 to 74,133,124,105,78.7,7.1,84.8,6.3,102,76.2,7.4,82.1,6.7
.75+,95,94,75,79.1,8.4,80.3,8.2,69,71.8,9.3,72.9,9.2
NEW YORK,,,,,,,,,,,,
.Total,"14,665","12,849","8,458",57.7,1.2,65.8,1.2,"7,559",51.5,1.3,58.8,1.2
.18 to 24,"1,836","1,646",875,47.7,3.6,53.2,3.5,741,40.4,3.5,45,3.5
.25 to 44,"5,284","4,319","2,693",51.0,2.1,62.3,2.0,"2,316",43.8,2.1,53.6,2.1
.45 to 64,"4,881","4,362","3,098",63.5,2.1,71.0,2.0,"2,889",59.2,2.1,66.2,2.1
.65 to 74,"1,398","1,327",936,67.0,3.8,70.5,3.7,859,61.5,4.0,64.8,3.9
.75+,"1,267","1,195",856,67.5,4.0,71.6,3.9,754,59.5,4.2,63.1,4.1
NORTH CAROLINA,,,,,,,,,,,,
.Total,"6,845","6,477","4,902",71.6,1.6,75.7,1.6,"4,370",63.8,1.7,67.5,1.7
.18 to 24,755,685,445,59.0,5.4,65.0,5.2,362,48.0,5.5,52.9,5.5
.25 to 44,"2,584","2,356","1,735",67.1,2.8,73.6,2.6,"1,566",60.6,2.9,66.5,2.8
.45 to 64,"2,318","2,258","1,776",76.6,2.6,78.7,2.6,"1,640",70.8,2.8,72.7,2.8,,,
.65 to 74,594,588,485,81.6,4.8,82.4,4.7,421,70.7,5.6,71.5,5.6,,,
.75+,593,590,461,77.7,5.1,78.1,5.1,381,64.2,5.9,64.5,5.9,,,
NORTH DAKOTA 2,,,,,,,,,,,,,,,
.Total,484,476,399,82.3,2.0,83.7,2.0,321,66.3,2.5,67.5,2.5,,,
.18 to 44,230,224,171,74.2,3.4,76.3,3.3,131,57.0,3.8,58.6,3.8,,,
.45 to 64,170,169,151,89.1,2.8,89.5,2.8,125,73.7,4.0,74.0,3.9,,,
.65+,85,83,77,90.5,3.7,91.8,3.5,65,76.8,5.4,77.9,5.3,,,
OHIO,,,,,,,,,,,,,,,
.Total,"8,499","8,367","6,108",71.9,1.5,73.0,1.4,"5,483",64.5,1.6,65.5,1.5,,,
.18 to 24,"1,044","1,019",692,66.3,4.4,67.9,4.3,581,55.7,4.6,57,4.6,,,
.25 to 44,"2,887","2,817","1,985",68.7,2.6,70.4,2.5,"1,757",60.9,2.7,62.4,2.7,,,
.45 to 64,"3,162","3,138","2,352",74.4,2.3,75.0,2.3,"2,153",68.1,2.5,68.6,2.5,,,
.65 to 74,769,759,586,76.2,4.6,77.2,4.5,544,70.7,4.9,71.7,4.9,,,
.75+,637,634,494,77.6,5.0,78.0,4.9,448,70.3,5.4,70.6,5.4,,,
OKLAHOMA,,,,,,,,,,,,,,,
.Total,"2,667","2,566","1,798",67.4,2.5,70.1,2.4,"1,507",56.5,2.6,58.7,2.6
.18 to 24,340,317,171,50.4,7.4,54.1,7.4,132,38.7,7.2,41.5,7.3
.25 to 44,942,883,596,63.2,4.3,67.5,4.2,473,50.2,4.5,53.6,4.5
.45 to 64,900,887,666,73.9,4.0,75.1,4.0,579,64.3,4.4,65.3,4.3
.65 to 74,265,265,201,76.1,7.2,76.1,7.2,180,68.1,7.8,68.1,7.8
.75+,219,215,164,74.6,8.0,76.2,7.9,143,65.2,8.8,66.6,8.7
OREGON,,,,,,,,,,,,
.Total,"2,904","2,687","1,961",67.5,2.5,73.0,2.3,"1,818",62.6,2.5,67.6,2.5
.18 to 24,301,259,158,52.4,8.1,61.0,7.9,136,45.2,8.1,52.7,8.1
.25 to 44,"1,072",976,708,66.0,4.1,72.5,3.9,624,58.2,4.3,63.9,4.1
.45 to 64,"1,035",971,722,69.7,4.0,74.3,3.8,689,66.5,4.1,70.9,4.0
.65 to 74,270,262,208,77.1,7.2,79.3,7.0,208,77.1,7.2,79.3,7.0
.75+,226,219,165,73.1,8.3,75.2,8.1,161,71.5,8.5,73.5,8.3
PENNSYLVANIA,,,,,,,,,,,,
.Total,"9,449","9,206","6,451",68.3,1.4,70.1,1.4,"5,747",60.8,1.5,62.4,1.5
.18 to 24,"1,198","1,154",674,56.3,4.3,58.4,4.3,601,50.1,4.3,52.1,4.3
.25 to 44,"3,026","2,946","2,047",67.6,2.6,69.5,2.5,"1,783",58.9,2.7,60.5,2.7,,,
.45 to 64,"3,383","3,317","2,417",71.4,2.3,72.9,2.3,"2,199",65.0,2.5,66.3,2.4,,,
.65 to 74,"1,000",959,717,71.7,4.3,74.7,4.1,663,66.3,4.5,69.1,4.4,,,
.75+,842,830,596,70.8,4.7,71.8,4.7,501,59.6,5.1,60.4,5.1,,,
RHODE ISLAND 2,,,,,,,,,,,,,,,
.Total,804,752,568,70.6,2.5,75.5,2.3,507,63.0,2.6,67.4,2.5,,,
.18 to 44,381,345,241,63.2,3.8,69.9,3.6,208,54.5,3.9,60.3,3.9,,,
.45 to 64,283,271,213,75.0,4.0,78.4,3.8,198,69.8,4.2,73.0,4.1,,,
.65+,140,136,114,81.6,5.0,83.6,4.8,101,72.4,5.8,74.1,5.7,,,
SOUTH CAROLINA,,,,,,,,,,,,,,,
.Total,"3,313","3,202","2,385",72.0,2.3,74.5,2.2,"2,100",63.4,2.5,65.6,2.5,,,
.18 to 24,387,370,211,54.6,7.5,57.1,7.5,185,47.8,7.5,49.9,7.5,,,
.25 to 44,"1,156","1,083",767,66.4,4.1,70.9,4.0,665,57.5,4.3,61.4,4.3,,,
.45 to 64,"1,151","1,134",885,76.9,3.7,78.1,3.6,785,68.2,4.1,69.3,4.0,,,
.65 to 74,372,370,314,84.4,5.6,84.9,5.5,283,76.1,6.6,76.5,6.5,,,
.75+,248,246,207,83.4,7.0,84.1,6.9,183,73.7,8.3,74.3,8.2,,,
SOUTH DAKOTA 2,,,,,,,,,,,,,,,
.Total,590,575,442,74.9,2.1,76.9,2.1,390,66.1,2.3,67.8,2.3,,,
.18 to 44,269,257,172,63.9,3.5,66.8,3.4,140,52.2,3.6,54.5,3.6,,,
.45 to 64,215,213,180,83.9,3.0,84.7,2.9,166,77.1,3.4,77.8,3.4,,,
.65+,106,104,90,84.5,4.2,85.9,4.1,84,79.0,4.7,80.3,4.6,,,
TENNESSEE,,,,,,,,,,,,,,,
.Total,"4,692","4,529","2,921",62.3,2.1,64.5,2.1,"2,516",53.6,2.2,55.5,2.2,,,
.18 to 24,593,566,298,50.3,6.1,52.7,6.1,234,39.5,6.0,41.4,6.0,,,
.25 to 44,"1,660","1,556",953,57.4,3.6,61.2,3.6,809,48.7,3.7,52,3.7,,,
.45 to 64,"1,621","1,589","1,063",65.6,3.5,66.9,3.5,950,58.6,3.7,59.8,3.6,,,
.65 to 74,478,478,349,72.9,6.1,72.9,6.1,306,64.1,6.6,64.1,6.6,,,
.75+,340,340,258,75.8,6.9,75.8,6.9,216,63.4,7.8,63.4,7.8,,,
TEXAS,,,,,,,,,,,,,,,
.Total,"17,295","15,040","10,123",58.5,1.1,67.3,1.1,"8,435",48.8,1.1,56.1,1.1,,,
.18 to 24,"2,386","2,129","1,074",45.0,3.1,50.5,3.1,780,32.7,2.9,36.6,3.0,,,
.25 to 44,"6,853","5,475","3,512",51.2,1.8,64.1,1.7,"2,736",39.9,1.8,50,1.8,,,
.45 to 64,"5,438","4,904","3,590",66.0,1.9,73.2,1.8,"3,163",58.2,2.0,64.5,2.0,,,
.65 to 74,"1,479","1,428","1,140",77.1,3.3,79.8,3.1,"1,065",72.0,3.5,74.5,3.4,,,
.75+,"1,140","1,103",808,70.9,4.1,73.2,4.0,691,60.7,4.4,62.7,4.3,,,
UTAH,,,,,,,,,,,,,,,
.Total,"1,859","1,768","1,056",56.8,2.4,59.7,2.4,939,50.5,2.4,53.1,2.4,,,
.18 to 24,292,276,107,36.5,5.8,38.7,5.9,85,29.2,5.5,30.9,5.6,,,
.25 to 44,791,741,418,52.9,3.7,56.5,3.7,365,46.1,3.7,49.2,3.7,,,
.45 to 64,579,562,380,65.7,4.1,67.7,4.0,357,61.7,4.2,63.6,4.1,,,
.65 to 74,99,96,72,73.0,9.2,75.2,9.0,67,67.9,9.7,69.9,9.5,,,
.75+,98,93,78,79.5,8.4,84.2,7.6,65,66.0,9.9,69.9,9.6,,,
VERMONT 2,,,,,,,,,,,,,,,
.Total,487,476,345,70.9,2.5,72.5,2.5,308,63.2,2.7,64.7,2.7,,,
.18 to 44,213,206,132,61.6,4.1,63.7,4.0,110,51.4,4.2,53.1,4.2,,,
.45 to 64,197,193,151,76.9,3.7,78.5,3.6,139,70.6,4.0,72.1,3.9,,,
.65+,77,77,62,81.0,5.5,81.0,5.5,59,77.0,5.9,77.0,5.9,,,
VIRGINIA,,,,,,,,,,,,,,,
.Total,"5,720","5,316","3,950",69.1,1.8,74.3,1.7,"3,650",63.8,1.9,68.7,1.8
.18 to 24,650,594,346,53.3,5.8,58.2,5.8,311,47.9,5.8,52.3,5.8
.25 to 44,"2,130","1,887","1,393",65.4,3.1,73.8,2.8,"1,262",59.3,3.2,66.9,3.0
.45 to 64,"2,075","1,974","1,510",72.8,2.9,76.5,2.8,"1,429",68.9,3.0,72.4,2.9
.65 to 74,478,475,394,82.5,5.2,82.9,5.1,379,79.3,5.5,79.8,5.5
.75+,388,385,308,79.3,6.1,79.9,6.1,269,69.3,7.0,69.8,7.0
WASHINGTON,,,,,,,,,,,,
.Total,"4,912","4,600","3,299",67.2,2.0,71.7,1.9,"3,073",62.6,2.1,66.8,2.0
.18 to 24,518,478,259,49.9,6.7,54.1,6.6,223,43.0,6.6,46.7,6.6
.25 to 44,"1,849","1,681","1,147",62.0,3.4,68.2,3.3,"1,039",56.2,3.5,61.8,3.4
.45 to 64,"1,784","1,704","1,336",74.9,3.1,78.4,3.0,"1,276",71.5,3.2,74.9,3.1
.65 to 74,458,439,323,70.6,6.5,73.5,6.3,311,68.0,6.6,70.8,6.4
.75+,303,297,235,77.5,7.3,78.9,7.1,224,73.9,7.7,75.2,7.5
WEST VIRGINIA,,,,,,,,,,,,
.Total,"1,395","1,387",917,65.7,2.3,66.1,2.3,741,53.1,2.4,53.4,2.4
.18 to 24,150,149,88,58.3,7.2,59.0,7.2,72,48.1,7.3,48.7,7.3
.25 to 44,458,455,283,61.9,4.1,62.2,4.1,220,48.2,4.2,48.4,4.2,,,
.45 to 64,528,525,366,69.4,3.6,69.7,3.6,306,58.0,3.9,58.3,3.9,,,
.65 to 74,138,137,99,72.0,6.9,72.7,6.8,82,59.4,7.5,60,7.5,,,
.75+,121,121,81,66.3,7.7,66.3,7.7,60,49.4,8.2,49.4,8.2,,,
WISCONSIN,,,,,,,,,,,,,,,
.Total,"4,212","4,053","3,095",73.5,2.0,76.4,2.0,"2,887",68.5,2.1,71.2,2.1,,,
.18 to 24,487,465,282,57.8,6.7,60.6,6.6,267,54.8,6.8,57.5,6.7,,,
.25 to 44,"1,476","1,371","1,005",68.1,3.6,73.3,3.4,901,61.0,3.8,65.7,3.7,,,
.45 to 64,"1,470","1,456","1,188",80.8,3.1,81.6,3.0,"1,134",77.1,3.3,77.9,3.2,,,
.65 to 74,360,350,295,82.0,6.1,84.3,5.7,275,76.4,6.7,78.7,6.5,,,
.75+,418,410,325,77.7,6.1,79.2,5.9,309,74.0,6.4,75.4,6.3,,,
WYOMING 2,,,,,,,,,,,,,,,
.Total,397,389,270,67.9,2.6,69.3,2.5,250,62.9,2.6,64.3,2.6,,,
.18 to 44,186,180,114,61.4,3.9,63.3,3.9,100,53.8,4.0,55.5,4.0,,,
.45 to 64,153,151,109,70.9,4.0,72.1,4.0,104,68.2,4.1,69.3,4.1,,,
.65+,59,58,47,(B),(B),(B),(B),46,(B),(B),(B),(B),,,
,,,,,,,,,,,,
1This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,
Note: The symbol (B) means that the base is too small to show the derived measure.,,,,,,,,,,,,
""" - "" Represents zero or rounds to zero.",,,,,,,,,,,,

"2 For smaller states, Table 4b utilizes a collapsed set of age-groups to increase the overall number of publishable estimates.  ",,,,,,,,,,,,

"Source: U.S. Census Bureau, Current Population Survey, November 2008.",,,,,,,,,,,,
"Internet Release date:  Month xx, 2009",,,,,,,,,,,,






































,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
