Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,
"Table 4b. Reported Voting and Registration of the Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2008",,,,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,,,,,,,,,
"State, sex, race, and Hispanic origin",Total Population,Total Citizen Population,Registered,,,,,Total Voted,,,,,,,,,,
,,,Total Registered,Percent registered (Total 18+),Margin of error1,Percent registered (Citizen 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Percent voted (Citizen 18+),Margin of error1,,,,,,
,,,,,,,,,,,,,,,,,,
.Total,"225,499","206,072","146,311",64.9,0.3,71.0,0.3,"131,144",58.2,0.3,63.6,0.3,,,,,,
.Male,"108,974","98,818","68,242",62.6,0.4,69.1,0.4,"60,729",55.7,0.4,61.5,0.4,,,,,,
.Female,"116,525","107,255","78,069",67.0,0.4,72.8,0.4,"70,415",60.4,0.4,65.7,0.4,,,,,,
.White alone,"183,169","169,438","122,020",66.6,0.3,72.0,0.3,"109,100",59.6,0.3,64.4,0.3,,,,,,
..White non-Hispanic alone,"154,472","151,321","111,215",72.0,0.3,73.5,0.3,"100,042",64.8,0.3,66.1,0.3,,,,,,
.Black alone,"26,528","24,930","17,375",65.5,1.0,69.7,1.0,"16,133",60.8,1.0,64.7,1.0,,,,,,
.Asian alone,"10,455","7,059","3,901",37.3,1.7,55.3,1.7,"3,357",32.1,1.6,47.6,1.7,,,,,,
.Hispanic (of any race),"30,852","19,537","11,608",37.6,1.2,59.4,1.2,"9,745",31.6,1.2,49.9,1.3,,,,,,
.White alone or in combination,"185,773","171,798","123,628",66.5,0.3,72.0,0.3,"110,500",59.5,0.3,64.3,0.3,,,,,,
.Black alone or in combination ,"27,483","25,768","17,960",65.3,1.0,69.7,0.9,"16,674",60.7,1.0,64.7,1.0
.Asian alone or in combination,"11,009","7,562","4,225",38.4,1.7,55.9,1.7,"3,627",32.9,1.6,48.0,1.7
ALABAMA,,,,,,,,,,,,
.Total,"3,497","3,404","2,438",69.7,2.3,71.6,2.2,"2,126",60.8,2.4,62.4,2.4
.Male,"1,654","1,593","1,092",66.0,3.4,68.5,3.4,927,56.1,3.6,58.2,3.6
.Female,"1,843","1,811","1,346",73.0,3.0,74.3,3.0,"1,199",65.0,3.3,66.2,3.2
.White alone,"2,541","2,473","1,791",70.5,2.7,72.4,2.6,"1,543",60.7,2.9,62.4,2.8
..White non-Hispanic alone,"2,474","2,470","1,791",72.4,2.7,72.5,2.6,"1,543",62.4,2.9,62.5,2.9
.Black alone,875,875,611,69.9,5.5,69.9,5.5,547,62.5,5.8,62.5,5.8
.Asian alone,32,8,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
.Hispanic (of any race),71,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
.White alone or in combination,"2,579","2,511","1,824",70.7,2.6,72.6,2.6,"1,576",61.1,2.8,62.8,2.8
.Black alone or in combination ,892,892,626,70.1,5.5,70.1,5.5,561,62.9,5.8,62.9,5.8
.Asian alone or in combination,32,8,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
ALASKA,,,,,,,,,,,,
.Total,488,468,345,70.8,2.4,73.7,2.4,304,62.4,2.6,65.0,2.6
.Male,246,241,171,69.6,3.5,71.1,3.4,152,61.8,3.7,63.2,3.6
.Female,242,228,174,72.0,3.4,76.5,3.2,152,62.9,3.7,66.8,3.6
.White alone,364,355,278,76.4,2.6,78.4,2.6,251,69.0,2.9,70.8,2.8
..White non-Hispanic alone,351,344,271,77.1,2.7,78.7,2.6,245,69.8,2.9,71.2,2.9
.Black alone,17,15,10,(B),(B),(B),(B),7,(B),(B),(B),(B)
.Asian alone,23,17,9,(B),(B),(B),(B),7,(B),(B),(B),(B)
.Hispanic (of any race),15,13,9,(B),(B),(B),(B),8,(B),(B),(B),(B)
.White alone or in combination,390,380,294,75.5,2.6,77.3,2.5,266,68.3,2.8,69.9,2.7
.Black alone or in combination ,20,18,10,(B),(B),(B),(B),8,(B),(B),(B),(B)
.Asian alone or in combination,25,19,11,(B),(B),(B),(B),9,(B),(B),(B),(B)
ARIZONA,,,,,,,,,,,,
.Total,"4,688","4,169","2,874",61.3,2.1,68.9,2.0,"2,497",53.3,2.2,59.9,2.1
.Male,"2,326","2,067","1,382",59.4,3.1,66.9,2.9,"1,191",51.2,3.1,57.6,3.1
.Female,"2,362","2,102","1,492",63.2,3.0,71.0,2.8,"1,306",55.3,3.1,62.1,3.0
.White alone,"4,163","3,678","2,539",61.0,2.3,69.0,2.2,"2,226",53.5,2.3,60.5,2.3
..White non-Hispanic alone,"2,970","2,916","2,150",72.4,2.5,73.7,2.4,"1,952",65.7,2.6,67.0,2.6
.Black alone,185,182,121,65.2,12.7,66.4,12.6,95,51.5,13.3,52.4,13.3
.Asian alone,105,80,52,49.7,18.5,65.1,17.7,48,45.7,18.5,59.9,18.2
.Hispanic (of any race),"1,227",796,410,33.4,6.4,51.5,6.7,291,23.7,5.7,36.6,6.5
.White alone or in combination,"4,225","3,740","2,580",61.1,2.3,69.0,2.1,"2,264",53.6,2.3,60.5,2.3
.Black alone or in combination ,206,198,131,63.6,12.2,66.4,11.9,106,51.2,12.6,53.5,12.6
.Asian alone or in combination,113,88,57,50.0,17.8,64.0,17.1,52,46.3,17.8,59.3,17.5
ARKANSAS,,,,,,,,,,,,
.Total,"2,108","2,030","1,317",62.5,2.5,64.9,2.5,"1,092",51.8,2.6,53.8,2.6
.Male,"1,002",952,584,58.2,3.7,61.3,3.6,477,47.6,3.7,50.1,3.7
.Female,"1,106","1,078",734,66.3,3.4,68.1,3.3,615,55.6,3.5,57.1,3.5
.White alone,"1,733","1,679","1,125",64.9,2.7,67.0,2.7,931,53.7,2.8,55.5,2.8
..White non-Hispanic alone,"1,658","1,658","1,117",67.4,2.7,67.4,2.7,928,55.9,2.9,55.9,2.9
.Black alone,308,301,160,52.0,8.1,53.2,8.1,133,43.1,8.0,44.1,8.1
.Asian alone,23,6,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
.Hispanic (of any race),74,20,8,(B),(B),(B),(B),3,(B),(B),(B),(B)
.White alone or in combination,"1,768","1,714","1,152",65.1,2.7,67.2,2.6,954,53.9,2.8,55.6,2.8
.Black alone or in combination ,313,306,164,52.2,8.1,53.4,8.0,136,43.5,8.0,44.5,8.0
.Asian alone or in combination,23,6,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
CALIFORNIA,,,,,,,,,,,,
.Total,"26,993","21,816","14,885",55.1,0.9,68.2,0.9,"13,828",51.2,0.9,63.4,0.9
.Male,"13,259","10,554","6,948",52.4,1.3,65.8,1.2,"6,429",48.5,1.3,60.9,1.3
.Female,"13,734","11,262","7,937",57.8,1.3,70.5,1.2,"7,398",53.9,1.3,65.7,1.2
.White alone,"20,823","16,837","11,775",56.5,1.0,69.9,1.0,"10,982",52.7,1.0,65.2,1.0
..White non-Hispanic alone,"12,581","12,048","8,783",69.8,1.2,72.9,1.2,"8,255",65.6,1.3,68.5,1.2
.Black alone,"1,682","1,646","1,105",65.7,4.2,67.2,4.2,"1,073",63.8,4.3,65.2,4.2
.Asian alone,"3,473","2,562","1,522",43.8,3.2,59.4,3.2,"1,343",38.7,3.1,52.4,3.2
.Hispanic (of any race),"8,859","5,193","3,263",36.8,2.4,62.8,2.4,"2,961",33.4,2.4,57.0,2.5
.White alone or in combination,"21,259","17,191","12,004",56.5,1.0,69.8,0.9,"11,197",52.7,1.0,65.1,1.0
.Black alone or in combination ,"1,860","1,769","1,187",63.8,4.1,67.1,4.0,"1,151",61.9,4.1,65.1,4.0
.Asian alone or in combination,"3,626","2,688","1,599",44.1,3.1,59.5,3.1,"1,410",38.9,3.1,52.5,3.2
COLORADO,,,,,,,,,,,,
.Total,"3,694","3,374","2,437",66.0,2.3,72.2,2.2,"2,308",62.5,2.4,68.4,2.3
.Male,"1,840","1,665","1,190",64.7,3.4,71.5,3.2,"1,123",61.0,3.4,67.5,3.3
.Female,"1,854","1,710","1,247",67.2,3.3,72.9,3.1,"1,185",63.9,3.4,69.3,3.2
.White alone,"3,344","3,097","2,262",67.6,2.4,73.0,2.3,"2,137",63.9,2.5,69.0,2.4
..White non-Hispanic alone,"2,771","2,731","2,049",73.9,2.5,75.0,2.5,"1,954",70.5,2.6,71.5,2.6
.Black alone,150,138,85,56.9,14.8,61.6,14.5,81,54.4,14.8,58.9,14.7
.Asian alone,131,70,48,36.7,16.0,(B),(B),48,36.7,16.0,(B),(B)
.Hispanic (of any race),590,380,225,38.1,9.5,59.1,9.6,195,33.1,9.2,51.4,9.7
.White alone or in combination,"3,378","3,131","2,284",67.6,2.4,73.0,2.3,"2,160",63.9,2.5,69.0,2.4
.Black alone or in combination ,160,149,89,55.8,14.3,60.1,14.1,86,53.4,14.4,57.6,14.2
.Asian alone or in combination,143,82,55,38.8,15.5,67.6,14.9,55,38.8,15.5,67.6,14.9
CONNECTICUT,,,,,,,,,,,,
.Total,"2,651","2,396","1,761",66.4,2.5,73.5,2.3,"1,610",60.8,2.5,67.2,2.5
.Male,"1,270","1,146",830,65.4,3.6,72.5,3.4,760,59.8,3.7,66.3,3.6
.Female,"1,381","1,250",931,67.4,3.4,74.4,3.2,851,61.6,3.5,68.0,3.4
.White alone,"2,233","2,085","1,583",70.9,2.6,76.0,2.4,"1,455",65.2,2.7,69.8,2.6
..White non-Hispanic alone,"2,013","1,926","1,492",74.1,2.6,77.5,2.5,"1,379",68.5,2.8,71.6,2.7
.Black alone,251,224,133,52.9,10.3,59.1,10.1,121,48.4,10.3,54.1,10.2
.Asian alone,136,61,31,22.7,12.2,(B),(B),21,15.5,10.5,(B),(B)
.Hispanic (of any race),253,191,104,40.8,13.0,54.3,13.2,89,35.2,12.7,46.8,13.2
.White alone or in combination,"2,247","2,098","1,592",70.9,2.6,75.9,2.4,"1,464",65.2,2.7,69.8,2.6
.Black alone or in combination ,257,230,137,53.2,10.1,59.3,10.0,125,48.8,10.2,54.4,10.1
.Asian alone or in combination,144,66,35,24.4,12.2,(B),(B),24,16.4,10.5,(B),(B)
DELAWARE,,,,,,,,,,,,
.Total,648,606,447,69.1,2.5,73.8,2.3,408,63.0,2.6,67.3,2.5
.Male,308,283,204,66.2,3.6,72.0,3.5,184,59.6,3.8,64.7,3.7
.Female,339,323,243,71.7,3.3,75.4,3.2,224,66.1,3.5,69.5,3.4
.White alone,493,472,355,72.1,2.7,75.3,2.6,324,65.6,2.9,68.6,2.8
..White non-Hispanic alone,460,456,348,75.6,2.7,76.3,2.7,318,69.2,2.9,69.8,2.9
.Black alone,125,120,83,66.5,6.9,69.5,6.7,78,62.2,7.1,65.0,7.0
.Asian alone,22,8,4,(B),(B),(B),(B),3,(B),(B),(B),(B)
.Hispanic (of any race),38,19,9,(B),(B),(B),(B),7,(B),(B),(B),(B)
.White alone or in combination,496,475,357,72.0,2.7,75.2,2.6,325,65.6,2.9,68.5,2.8
.Black alone or in combination ,127,121,84,66.5,6.9,69.4,6.7,79,62.2,7.1,65.0,6.9
.Asian alone or in combination,22,8,4,(B),(B),(B),(B),3,(B),(B),(B),(B)
DISTRICT OF COLUMBIA,,,,,,,,,,,,
.Total,469,413,324,69.0,2.6,78.3,2.3,306,65.3,2.7,74.1,2.4
.Male,216,186,140,65.1,3.9,75.6,3.5,132,61.3,4.0,71.2,3.7
.Female,254,228,183,72.3,3.4,80.5,3.0,174,68.7,3.5,76.5,3.2
.White alone,203,166,139,68.4,3.9,83.8,3.1,130,64.0,4.1,78.4,3.5
..White non-Hispanic alone,161,151,130,80.7,3.8,86.1,3.3,121,75.3,4.1,80.4,3.8
.Black alone,242,231,173,71.5,4.2,74.8,4.1,165,68.4,4.4,71.6,4.2
.Asian alone,15,9,6,(B),(B),(B),(B),5,(B),(B),(B),(B)
.Hispanic (of any race),50,18,11,(B),(B),(B),(B),11,(B),(B),(B),(B)
.White alone or in combination,208,170,142,68.4,3.9,83.8,3.1,134,64.1,4.0,78.5,3.4
.Black alone or in combination ,246,235,176,71.4,4.2,74.9,4.0,168,68.2,4.3,71.5,4.2
.Asian alone or in combination,17,10,7,(B),(B),(B),(B),7,(B),(B),(B),(B)
FLORIDA,,,,,,,,,,,,
.Total,"14,069","12,462","8,774",62.4,1.2,70.4,1.1,"7,951",56.5,1.2,63.8,1.2
.Male,"6,774","5,928","4,049",59.8,1.8,68.3,1.7,"3,677",54.3,1.8,62.0,1.7
.Female,"7,294","6,534","4,725",64.8,1.7,72.3,1.6,"4,274",58.6,1.7,65.4,1.7
.White alone,"11,674","10,505","7,533",64.5,1.3,71.7,1.2,"6,806",58.3,1.4,64.8,1.3
..White non-Hispanic alone,"8,980","8,644","6,213",69.2,1.4,71.9,1.4,"5,635",62.8,1.5,65.2,1.5
.Black alone,"1,968","1,685","1,069",54.3,4.0,63.5,3.9,985,50.1,4.0,58.5,4.0
.Asian alone,267,157,96,35.9,11.0,61.0,11.2,84,31.3,10.6,53.1,11.4
.Hispanic (of any race),"2,909","1,988","1,380",47.4,4.3,69.4,4.0,"1,227",42.2,4.3,61.7,4.2
.White alone or in combination,"11,776","10,582","7,576",64.3,1.3,71.6,1.2,"6,849",58.2,1.3,64.7,1.3
.Black alone or in combination ,"2,073","1,753","1,110",53.6,3.9,63.3,3.8,"1,026",49.5,3.9,58.5,3.9
.Asian alone or in combination,283,161,100,35.3,10.6,61.9,10.8,88,30.9,10.3,54.3,11.1
GEORGIA,,,,,,,,,,,,
.Total,"7,018","6,515","4,624",65.9,1.7,71.0,1.6,"4,183",59.6,1.7,64.2,1.7
.Male,"3,323","3,038","2,105",63.3,2.5,69.3,2.4,"1,883",56.7,2.6,62.0,2.5
.Female,"3,695","3,477","2,519",68.2,2.3,72.4,2.2,"2,300",62.3,2.4,66.1,2.3
.White alone,"4,729","4,387","3,111",65.8,2.1,70.9,2.0,"2,789",59.0,2.1,63.6,2.1
..White non-Hispanic alone,"4,235","4,183","2,983",70.5,2.1,71.3,2.1,"2,683",63.4,2.2,64.1,2.2
.Black alone,"2,014","1,928","1,414",70.2,3.7,73.4,3.6,"1,309",65.0,3.8,67.9,3.8
.Asian alone,229,155,60,26.0,10.9,38.5,12.1,53,23.0,10.5,34.1,11.8
.Hispanic (of any race),541,234,150,27.7,9.0,63.9,9.7,128,23.6,8.6,54.5,10.0
.White alone or in combination,"4,754","4,413","3,134",65.9,2.0,71.0,2.0,"2,809",59.1,2.1,63.6,2.1
.Black alone or in combination ,"2,046","1,959","1,442",70.5,3.6,73.6,3.5,"1,334",65.2,3.8,68.1,3.7
.Asian alone or in combination,229,155,60,26.0,10.9,38.5,12.1,53,23.0,10.5,34.1,11.8
HAWAII,,,,,,,,,,,,
.Total,977,883,522,53.5,2.5,59.1,2.5,457,46.8,2.5,51.8,2.5
.Male,478,433,250,52.3,3.6,57.7,3.5,223,46.6,3.6,51.4,3.6
.Female,499,450,272,54.6,3.5,60.5,3.4,235,47.1,3.5,52.2,3.5
.White alone,239,226,149,62.1,4.9,65.7,4.8,136,57.0,5.0,60.3,4.9
..White non-Hispanic alone,215,206,141,65.6,5.1,68.6,4.9,130,60.6,5.2,63.4,5.1
.Black alone,18,16,2,(B),(B),(B),(B),2,(B),(B),(B),(B)
.Asian alone,403,359,220,54.6,4.9,61.5,4.8,199,49.2,4.9,55.4,4.9
.Hispanic (of any race),49,45,17,(B),(B),(B),(B),15,(B),(B),(B),(B)
.White alone or in combination,379,365,222,58.5,4.0,60.8,3.9,198,52.2,4.0,54.2,4.0
.Black alone or in combination ,23,21,5,(B),(B),(B),(B),4,(B),(B),(B),(B)
.Asian alone or in combination,548,502,290,52.9,4.2,57.7,4.2,252,46.0,4.2,50.1,4.2
IDAHO,,,,,,,,,,,,
.Total,"1,095","1,049",723,66.0,2.4,68.9,2.3,644,58.8,2.5,61.4,2.5
.Male,538,516,352,65.3,3.4,68.1,3.4,313,58.2,3.5,60.7,3.5
.Female,556,533,371,66.7,3.3,69.6,3.3,331,59.4,3.5,62.0,3.4
.White alone,"1,045","1,002",697,66.7,2.4,69.6,2.4,621,59.5,2.5,62.0,2.5
..White non-Hispanic alone,925,918,662,71.6,2.5,72.1,2.5,592,64.0,2.6,64.5,2.6
.Black alone,11,11,8,(B),(B),(B),(B),8,(B),(B),(B),(B)
.Asian alone,17,14,7,(B),(B),(B),(B),6,(B),(B),(B),(B)
.Hispanic (of any race),122,86,37,29.9,10.9,42.4,11.7,30,24.9,10.3,35.3,11.3
.White alone or in combination,"1,050","1,007",700,66.7,2.4,69.5,2.4,624,59.4,2.5,61.9,2.5
.Black alone or in combination ,11,11,8,(B),(B),(B),(B),8,(B),(B),(B),(B)
.Asian alone or in combination,17,14,7,(B),(B),(B),(B),6,(B),(B),(B),(B)
ILLINOIS,,,,,,,,,,,,
.Total,"9,521","8,681","6,151",64.6,1.5,70.9,1.4,"5,436",57.1,1.5,62.6,1.5
.Male,"4,623","4,204","2,900",62.7,2.1,69.0,2.0,"2,521",54.5,2.2,60.0,2.2
.Female,"4,897","4,477","3,252",66.4,2.0,72.6,1.9,"2,914",59.5,2.1,65.1,2.0
.White alone,"7,750","7,128","5,160",66.6,1.6,72.4,1.5,"4,520",58.3,1.7,63.4,1.6
..White non-Hispanic alone,"6,700","6,468","4,783",71.4,1.7,73.9,1.6,"4,214",62.9,1.8,65.2,1.7
.Black alone,"1,298","1,260",826,63.6,4.8,65.5,4.8,784,60.4,4.9,62.2,4.9
.Asian alone,360,213,109,30.2,9.2,51.2,10.0,78,21.7,8.2,36.7,9.6
.Hispanic (of any race),"1,081",671,385,35.6,6.9,57.4,7.1,314,29.0,6.5,46.8,7.2
.White alone or in combination,"7,805","7,178","5,190",66.5,1.6,72.3,1.5,"4,547",58.3,1.7,63.3,1.6
.Black alone or in combination ,"1,318","1,280",843,64.0,4.8,65.9,4.7,798,60.5,4.9,62.3,4.8
.Asian alone or in combination,375,228,115,30.6,9.0,50.4,9.8,84,22.4,8.2,36.9,9.4
INDIANA,,,,,,,,,,,,
.Total,"4,686","4,562","3,105",66.3,2.1,68.1,2.0,"2,758",58.8,2.1,60.5,2.1
.Male,"2,280","2,207","1,465",64.3,3.0,66.4,2.9,"1,290",56.6,3.1,58.4,3.1
.Female,"2,406","2,354","1,640",68.2,2.8,69.6,2.8,"1,468",61.0,3.0,62.3,2.9
.White alone,"4,264","4,156","2,851",66.9,2.1,68.6,2.1,"2,516",59.0,2.2,60.5,2.2
..White non-Hispanic alone,"4,080","4,067","2,811",68.9,2.2,69.1,2.2,"2,485",60.9,2.3,61.1,2.3
.Black alone,370,360,228,61.5,9.1,63.3,9.0,219,59.2,9.2,60.9,9.2
.Asian alone,19,13,3,(B),(B),(B),(B),3,(B),(B),(B),(B)
.Hispanic (of any race),196,102,45,23.0,14.1,44.5,16.6,36,18.3,12.9,35.3,16.0
.White alone or in combination,"4,285","4,176","2,866",66.9,2.1,68.6,2.1,"2,527",59.0,2.2,60.5,2.2
.Black alone or in combination ,381,371,236,61.9,9.0,63.5,8.9,225,58.9,9.1,60.5,9.0
.Asian alone or in combination,21,15,5,(B),(B),(B),(B),5,(B),(B),(B),(B)
IOWA,,,,,,,,,,,,
.Total,"2,244","2,137","1,630",72.6,2.4,76.3,2.3,"1,501",66.9,2.5,70.2,2.4
.Male,"1,097","1,040",765,69.7,3.5,73.6,3.3,699,63.7,3.6,67.2,3.6
.Female,"1,147","1,096",865,75.4,3.2,78.9,3.0,801,69.9,3.4,73.1,3.3
.White alone,"2,084","2,005","1,550",74.4,2.4,77.3,2.3,"1,422",68.2,2.6,70.9,2.5
..White non-Hispanic alone,"1,986","1,977","1,532",77.1,2.4,77.5,2.4,"1,405",70.7,2.6,71.1,2.6
.Black alone,71,68,42,(B),(B),(B),(B),42,(B),(B),(B),(B)
.Asian alone,58,32,11,(B),(B),(B),(B),11,(B),(B),(B),(B)
.Hispanic (of any race),101,31,21,20.7,15.9,(B),18.3,20,19.8,15.7,(B),18.7
.White alone or in combination,"2,104","2,025","1,569",74.6,2.4,77.5,2.3,"1,439",68.4,2.5,71.1,2.5
.Black alone or in combination ,74,71,45,(B),(B),(B),(B),45,(B),(B),(B),(B)
.Asian alone or in combination,61,35,15,(B),(B),(B),(B),15,(B),(B),(B),(B)
KANSAS,,,,,,,,,,,,
.Total,"2,037","1,926","1,343",65.9,2.5,69.7,2.5,"1,219",59.8,2.6,63.3,2.6
.Male,992,939,617,62.2,3.7,65.7,3.6,552,55.7,3.8,58.8,3.8
