M,62,,F,76,M,62,,,,,
M,352,,F,143,M,352,,,,,
M,201,,F,1781,M,201,,,,,
M,1389,,F,405,M,1389,,,,,
M,1177,,F,3955,M,1177,,,p-value,0.989266196,"(two-tail, assumed different standard deviations)"
M,2,,F,14975,M,2,,,,,
M,58,,F,1119,M,58,,,,,
M,1792,,F,803,M,1792,,,,,
M,426,,F,73,M,426,,,,,
M,247,,F,1762,M,247,,,,,
M,7716,,F,0,M,7716,,,,,
M,13700,,F,144,M,13700,,,,,
F,76,,F,518,M,223,,,,,
M,223,,F,693,M,39,,,,,
F,143,,F,805,M,3852,,,,,
M,39,,F,2282,M,546,,,,,
M,3852,,F,816,M,272,,,,,
M,546,,F,7052,M,1969,,,,,
M,272,,F,602,M,443,,,,,
M,1969,,F,193,M,698,,,,,
F,1781,,F,1278,M,95,,,,,
M,443,,F,225,M,125,,,,,
F,405,,F,187,M,154,,,,,
M,698,,F,4373,M,116,,,,,
M,95,,F,396,M,1180,,,,,
M,125,,F,122,M,11417,,,,,
M,154,,F,1214,M,10741,,,,,
M,116,,F,1122,M,352,,,,,
F,3955,,F,167,M,2176,,,,,
M,1180,,F,100,M,484,,,,,
M,11417,,F,886,M,49,,,,,
M,10741,,F,35,M,1666,,,,,
M,352,,F,1095,M,7752,,,,,
M,2176,,F,443,M,1984,,,,,
M,484,,F,588,M,681,,,,,
M,49,,F,390,M,327,,,,,
M,1666,,F,925,M,5,,,,,
F,14975,,F,699,M,313,,,,,
M,7752,,F,76,M,263,,,,,
F,1119,,F,282,M,551,,,,,
M,1984,,F,799,M,37,,,,,
M,681,,F,4457,M,68,,,,,
M,327,,F,159,M,6961,,,,,
F,803,,F,541,M,140,,,,,
M,5,,F,802,M,420,,,,,
M,313,,F,37,M,887,,,,,
M,263,,F,347,M,183,,,,,
M,551,,F,132,M,860,,,,,
F,73,,F,529,M,436,,,,,
F,1762,,F,6214,M,456,,,,,
M,37,,F,227,M,139,,,,,
M,68,,F,3308,M,296,,,,,
M,6961,,F,57,M,468,,,,,
F,0,,F,6,M,257,,,,,
M,140,,F,1442,M,329,,,,,
M,420,,F,651,M,196,,,,,
M,887,,F,405,M,113,,,,,
M,183,,F,320,M,8872,,,,,
F,144,,F,5131,M,604,,,,,
M,860,,F,339,M,2863,,,,,
M,436,,F,1387,M,33,,,,,
M,456,,F,1410,M,8364,,,,,
M,139,,F,315,M,263,,,,,
M,296,,F,41,M,348,,,,,
M,468,,F,178,M,1422,,,,,
M,257,,F,214,M,1390,,,,,
M,329,,F,149,M,275,,,,,
F,518,,F,253,M,296,,,,,
F,693,,F,254,M,1735,,,,,
M,196,,F,952,M,169,,,,,
M,113,,F,206,M,363,,,,,
M,8872,,F,849,M,522,,,,,
F,805,,F,11999,M,22141,,,,,
M,604,,F,154,M,1467,,,,,
M,2863,,F,2340,M,153,,,,,
M,33,,F,393,M,728,,,,,
M,8364,,F,758,M,66,,,,,
M,263,,F,418,M,298,,,,,
M,348,,F,750,M,103,,,,,
M,1422,,F,5697,M,408,,,,,
M,1390,,F,317,M,396,,,,,
M,275,,F,484,M,30,,,,,
F,2282,,F,669,M,291,,,,,
M,296,,F,106,M,69,,,,,
M,1735,,F,108,M,209,,,,,
M,169,,F,859,M,210,,,,,
M,363,,F,991,M,1875,,,,,
M,522,,F,541,M,542,,,,,
M,22141,,F,173,M,954,,,,,
M,1467,,F,226,M,265,,,,,
M,153,,,,M,29,,,,,
F,816,,,,M,684,,,,,
M,728,,,,M,134,,,,,
M,66,,,,M,249,,,,,
M,298,,,,M,834,,,,,
M,103,,,,M,1058,,,,,
M,408,,,,M,2560,,,,,
M,396,,,,M,1118,,,,,
M,30,,,,M,398,,,,,
M,291,,,,M,37,,,,,
M,69,,,,M,311,,,,,
M,209,,,,M,71,,,,,
M,210,,,,M,947,,,,,
M,1875,,,,M,229,,,,,
M,542,,,,M,234,,,,,
F,7052,,,,M,1549,,,,,
F,602,,,,M,11,,,,,
M,954,,,,M,405,,,,,
M,265,,,,M,875,,,,,
M,29,,,,M,199,,,,,
M,684,,,,M,5062,,,,,
M,134,,,,M,1183,,,,,
M,249,,,,M,2109,,,,,
M,834,,,,M,25,,,,,
M,1058,,,,M,1012,,,,,
M,2560,,,,M,165,,,,,
M,1118,,,,M,499,,,,,
M,398,,,,M,620,,,,,
F,193,,,,M,708,,,,,
M,37,,,,M,1230,,,,,
M,311,,,,M,144,,,,,
M,71,,,,M,2144,,,,,
M,947,,,,M,14948,,,,,
F,1278,,,,M,49,,,,,
M,229,,,,M,152,,,,,
F,225,,,,M,107,,,,,
M,234,,,,M,184,,,,,
M,1549,,,,M,1028,,,,,
F,187,,,,M,223,,,,,
F,4373,,,,M,268,,,,,
M,11,,,,M,21,,,,,
F,396,,,,M,6006,,,,,
M,405,,,,M,3007,,,,,
M,875,,,,M,402,,,,,
F,122,,,,M,3237,,,,,
M,199,,,,M,161,,,,,
M,5062,,,,M,2416,,,,,
M,1183,,,,M,349,,,,,
M,2109,,,,M,3531,,,,,
F,1214,,,,M,370,,,,,
M,25,,,,M,68,,,,,
M,1012,,,,M,226,,,,,
F,1122,,,,M,61,,,,,
M,165,,,,M,378,,,,,
M,499,,,,M,37,,,,,
M,620,,,,M,367,,,,,
M,708,,,,M,1568,,,,,
M,1230,,,,M,190,,,,,
F,167,,,,M,216,,,,,
F,100,,,,M,1147,,,,,
M,144,,,,M,540,,,,,
M,2144,,,,M,371,,,,,
F,886,,,,M,11,,,,,
M,14948,,,,M,615,,,,,
M,49,,,,M,332,,,,,
M,152,,,,M,188,,,,,
M,107,,,,M,73,,,,,
M,184,,,,M,1384,,,,,
M,1028,,,,M,2660,,,,,
M,223,,,,M,1682,,,,,
M,268,,,,M,456,,,,,
M,21,,,,M,44,,,,,
M,6006,,,,M,0,,,,,
M,3007,,,,M,118,,,,,
M,402,,,,M,443,,,,,
M,3237,,,,M,670,,,,,
M,161,,,,M,14,,,,,
M,2416,,,,M,641,,,,,
M,349,,,,M,24086,,,,,
M,3531,,,,M,241,,,,,
M,370,,,,M,118,,,,,
M,68,,,,M,49,,,,,
F,35,,,,M,114,,,,,
M,226,,,,M,312,,,,,
M,61,,,,M,5254,,,,,
M,378,,,,M,138,,,,,
M,37,,,,M,540,,,,,
M,367,,,,M,79,,,,,
M,1568,,,,M,1291,,,,,
M,190,,,,M,508,,,,,
M,216,,,,M,75,,,,,
M,1147,,,,M,337,,,,,
M,540,,,,M,1720,,,,,
F,1095,,,,M,48,,,,,
M,371,,,,M,186,,,,,
M,11,,,,M,590,,,,,
M,615,,,,M,105,,,,,
F,443,,,,M,816,,,,,
F,588,,,,M,69,,,,,
M,332,,,,M,2330,,,,,
M,188,,,,M,23,,,,,
F,390,,,,M,220,,,,,
M,73,,,,M,1073,,,,,
F,925,,,,M,88,,,,,
M,1384,,,,M,55,,,,,
M,2660,,,,M,0,,,,,
M,1682,,,,M,4055,,,,,
M,456,,,,M,162,,,,,
M,44,,,,M,127,,,,,
F,699,,,,M,307,,,,,
M,0,,,,M,1517,,,,,
M,118,,,,M,1035,,,,,
M,443,,,,M,122,,,,,
M,670,,,,M,115,,,,,
M,14,,,,M,481,,,,,
F,76,,,,M,4536,,,,,
M,641,,,,M,133,,,,,
M,24086,,,,M,496,,,,,
M,241,,,,M,404,,,,,
F,282,,,,M,1998,,,,,
F,799,,,,M,675,,,,,
M,118,,,,M,1212,,,,,
M,49,,,,M,67,,,,,
M,114,,,,M,284,,,,,
M,312,,,,M,487,,,,,
M,5254,,,,M,160,,,,,
F,4457,,,,M,613,,,,,
M,138,,,,M,129,,,,,
M,540,,,,M,5234,,,,,
M,79,,,,M,459,,,,,
M,1291,,,,M,211,,,,,
F,159,,,,M,176,,,,,
M,508,,,,M,1082,,,,,
M,75,,,,M,138,,,,,
M,337,,,,M,48,,,,,
M,1720,,,,M,93,,,,,
M,48,,,,M,7,,,,,
M,186,,,,M,448,,,,,
F,541,,,,M,3513,,,,,
M,590,,,,M,81,,,,,
M,105,,,,M,2239,,,,,
M,816,,,,M,11028,,,,,
M,69,,,,M,174,,,,,
M,2330,,,,M,6,,,,,
M,23,,,,M,82,,,,,
F,802,,,,M,0,,,,,
M,220,,,,M,371,,,,,
M,1073,,,,M,185,,,,,
M,88,,,,M,505,,,,,
M,55,,,,M,4113,,,,,
M,0,,,,M,742,,,,,
M,4055,,,,M,272,,,,,
M,162,,,,M,1495,,,,,
F,37,,,,M,129,,,,,
F,347,,,,M,1042,,,,,
F,132,,,,M,45,,,,,
F,529,,,,M,775,,,,,
M,127,,,,M,12,,,,,
M,307,,,,M,73,,,,,
M,1517,,,,M,5,,,,,
M,1035,,,,M,0,,,,,
M,122,,,,M,2439,,,,,
M,115,,,,M,172,,,,,
M,481,,,,M,378,,,,,
M,4536,,,,M,1304,,,,,
M,133,,,,M,666,,,,,
F,6214,,,,M,493,,,,,
M,496,,,,M,0,,,,,
M,404,,,,M,48,,,,,
M,1998,,,,M,1648,,,,,
M,675,,,,M,2323,,,,,
M,1212,,,,M,506,,,,,
F,227,,,,M,165,,,,,
F,3308,,,,M,3126,,,,,
M,67,,,,M,473,,,,,
M,284,,,,M,68,,,,,
F,57,,,,M,2200,,,,,
M,487,,,,M,313,,,,,
M,160,,,,M,5050,,,,,
M,613,,,,M,222,,,,,
M,129,,,,M,930,,,,,
M,5234,,,,M,1291,,,,,
M,459,,,,M,1130,,,,,
F,6,,,,M,226,,,,,
M,211,,,,M,179,,,,,
M,176,,,,M,356,,,,,
M,1082,,,,M,791,,,,,
F,1442,,,,M,185,,,,,
M,138,,,,M,1462,,,,,
M,48,,,,M,2679,,,,,
M,93,,,,M,0,,,,,
F,651,,,,M,134,,,,,
M,7,,,,M,416,,,,,
F,405,,,,M,624,,,,,
M,448,,,,M,320,,,,,
F,320,,,,M,387,,,,,
M,3513,,,,M,118,,,,,
M,81,,,,M,1,,,,,
M,2239,,,,M,153,,,,,
F,5131,,,,M,2878,,,,,
F,339,,,,M,937,,,,,
F,1387,,,,M,983,,,,,
M,11028,,,,M,3088,,,,,
M,174,,,,M,4185,,,,,
F,1410,,,,M,181,,,,,
M,6,,,,M,4322,,,,,
M,82,,,,M,128,,,,,
M,0,,,,M,477,,,,,
M,371,,,,M,511,,,,,
M,185,,,,M,1319,,,,,
M,505,,,,M,1625,,,,,
M,4113,,,,M,2999,,,,,
M,742,,,,M,1409,,,,,
M,272,,,,M,34,,,,,
M,1495,,,,M,91,,,,,
F,315,,,,M,215,,,,,
M,129,,,,M,293,,,,,
M,1042,,,,M,1,,,,,
M,45,,,,M,306,,,,,
M,775,,,,M,1114,,,,,
M,12,,,,M,27825,,,,,
M,73,,,,M,847,,,,,
M,5,,,,M,165,,,,,
F,41,,,,M,366,,,,,
F,178,,,,M,591,,,,,
M,0,,,,M,127,,,,,
M,2439,,,,M,14,,,,,
F,214,,,,M,808,,,,,
M,172,,,,M,673,,,,,
M,378,,,,M,3578,,,,,
F,149,,,,M,96,,,,,
M,1304,,,,M,34,,,,,
M,666,,,,M,765,,,,,
M,493,,,,M,704,,,,,
M,0,,,,M,217,,,,,
F,253,,,,M,156,,,,,
M,48,,,,M,139,,,,,
M,1648,,,,M,681,,,,,
M,2323,,,,M,591,,,,,
M,506,,,,M,1363,,,,,
M,165,,,,M,446,,,,,
M,3126,,,,M,508,,,,,
M,473,,,,M,809,,,,,
M,68,,,,M,212,,,,,
M,2200,,,,M,202,,,,,
M,313,,,,M,209,,,,,
M,5050,,,,M,245,,,,,
F,254,,,,M,604,,,,,
M,222,,,,M,125,,,,,
M,930,,,,M,177,,,,,
M,1291,,,,M,266,,,,,
M,1130,,,,M,170,,,,,
M,226,,,,M,458,,,,,
M,179,,,,M,16494,,,,,
M,356,,,,M,213,,,,,
M,791,,,,M,548,,,,,
M,185,,,,M,276,,,,,
M,1462,,,,M,1199,,,,,
M,2679,,,,M,1112,,,,,
M,0,,,,M,772,,,,,
M,134,,,,M,2388,,,,,
M,416,,,,M,187,,,,,
M,624,,,,M,5,,,,,
M,320,,,,M,798,,,,,
F,952,,,,M,2179,,,,,
F,206,,,,M,62,,,,,
M,387,,,,M,345,,,,,
M,118,,,,M,20,,,,,
M,1,,,,M,0,,,,,
M,153,,,,M,129,,,,,
M,2878,,,,M,126,,,,,
M,937,,,,M,276,,,,,
M,983,,,,M,306,,,,,
M,3088,,,,M,250,,,,,
M,4185,,,,M,150,,,,,
M,181,,,,M,245,,,,,
M,4322,,,,M,437,,,,,
M,128,,,,M,320,,,,,
M,477,,,,M,1261,,,,,
M,511,,,,M,6222,,,,,
M,1319,,,,M,11163,,,,,
M,1625,,,,M,322,,,,,
F,849,,,,M,628,,,,,
M,2999,,,,M,75,,,,,
M,1409,,,,M,219,,,,,
M,34,,,,M,83,,,,,
M,91,,,,M,321,,,,,
M,215,,,,M,207,,,,,
M,293,,,,M,556,,,,,
M,1,,,,M,333,,,,,
M,306,,,,M,7,,,,,
F,11999,,,,,,,,,,
M,1114,,,,,,,,,,
M,27825,,,,,,,,,,
M,847,,,,,,,,,,
M,165,,,,,,,,,,
M,366,,,,,,,,,,
M,591,,,,,,,,,,
M,127,,,,,,,,,,
M,14,,,,,,,,,,
M,808,,,,,,,,,,
F,154,,,,,,,,,,
M,673,,,,,,,,,,
M,3578,,,,,,,,,,
F,2340,,,,,,,,,,
M,96,,,,,,,,,,
F,393,,,,,,,,,,
M,34,,,,,,,,,,
M,765,,,,,,,,,,
M,704,,,,,,,,,,
F,758,,,,,,,,,,
M,217,,,,,,,,,,
M,156,,,,,,,,,,
F,418,,,,,,,,,,
M,139,,,,,,,,,,
F,750,,,,,,,,,,
M,681,,,,,,,,,,
M,591,,,,,,,,,,
F,5697,,,,,,,,,,
M,1363,,,,,,,,,,
M,446,,,,,,,,,,
F,317,,,,,,,,,,
M,508,,,,,,,,,,
M,809,,,,,,,,,,
M,212,,,,,,,,,,
M,202,,,,,,,,,,
M,209,,,,,,,,,,
F,484,,,,,,,,,,
M,245,,,,,,,,,,
M,604,,,,,,,,,,
M,125,,,,,,,,,,
M,177,,,,,,,,,,
M,266,,,,,,,,,,
M,170,,,,,,,,,,
M,458,,,,,,,,,,
M,16494,,,,,,,,,,
M,213,,,,,,,,,,
M,548,,,,,,,,,,
F,669,,,,,,,,,,
M,276,,,,,,,,,,
F,106,,,,,,,,,,
M,1199,,,,,,,,,,
M,1112,,,,,,,,,,
M,772,,,,,,,,,,
M,2388,,,,,,,,,,
M,187,,,,,,,,,,
M,5,,,,,,,,,,
F,108,,,,,,,,,,
M,798,,,,,,,,,,
M,2179,,,,,,,,,,
M,62,,,,,,,,,,
M,345,,,,,,,,,,
M,20,,,,,,,,,,
F,859,,,,,,,,,,
M,0,,,,,,,,,,
M,129,,,,,,,,,,
M,126,,,,,,,,,,
M,276,,,,,,,,,,
M,306,,,,,,,,,,
M,250,,,,,,,,,,
M,150,,,,,,,,,,
M,245,,,,,,,,,,
M,437,,,,,,,,,,
M,320,,,,,,,,,,
M,1261,,,,,,,,,,
M,6222,,,,,,,,,,
M,11163,,,,,,,,,,
M,322,,,,,,,,,,
F,991,,,,,,,,,,
M,628,,,,,,,,,,
F,541,,,,,,,,,,
F,173,,,,,,,,,,
M,75,,,,,,,,,,
M,219,,,,,,,,,,
M,83,,,,,,,,,,
F,226,,,,,,,,,,
M,321,,,,,,,,,,
M,207,,,,,,,,,,
M,556,,,,,,,,,,
M,333,,,,,,,,,,
M,7,,,,,,,,,,
