followers per capita,median age,,,,
0.00103494,38,,,,
0.00182241,38,,,,
0.00058438,36,,,,
0.00252216,39,,,,
0.00079341,36,,,,
0.00121046,38,,,,
0.00043124,34,slope,6.803698889,37.19918042,intercept
0.00027801,35,plus or minus,5.72776718,0.102853053,plus or minus
0.00038026,35,r^2,0.003018704,2.192236686,s(y)
0.00055599,38,F,1.410975447,466,degrees of freedom
0.00390883,38,regression ss,6.781009283,2239.550187,residual ss
0.04056548,39,,,,
0.00067574,35,,,,
0.00031619,34,,,,
0.0001552,41,,,,
0.00241215,39,,,,
0.00190718,37,,,,
0.00035435,40,,,,
0.00436248,37,,,,
0.0001849,38,,,,
0.00130397,38,,,,
0.00079268,38,,,,
0.00042862,34,,,,
0.00021056,29,,,,
0.00011578,37,,,,
0.00051125,35,,,,
0.0005246,36,,,,
0.03313386,37,,,,
0.00041423,41,,,,
0.00485358,38,,,,
0.00067018,41,,,,
0.01432447,37,,,,
0.00102859,35,,,,
0.01529859,34,,,,
0.00205071,36,,,,
0.00031924,40,,,,
0.00044103,35,,,,
0.00080838,39,,,,
0.00089048,38,,,,
0.00096464,38,,,,
0.00057943,37,,,,
0.00251035,40,,,,
0.00040198,38,,,,
0.00015535,36,,,,
0.00007871,39,,,,
0.00020788,38,,,,
0.0003831,36,,,,
0.00010888,37,,,,
0.00011464,37,,,,
0.00002362,35,,,,
0.00006912,35,,,,
0.00123098,39,,,,
0.0007319,37,,,,
0.00257361,38,,,,
0.00705679,39,,,,
0.00027477,39,,,,
0.00052601,35,,,,
0.00361859,38,,,,
0.00135857,37,,,,
0.00022832,37,,,,
0.01665343,36,,,,
0.00112976,36,,,,
0.00072106,39,,,,
0.00061172,38,,,,
0.00185204,35,,,,
0.01683886,43,,,,
0.00010222,35,,,,
0.00019063,38,,,,
0.00029344,41,,,,
0.01779665,38,,,,
0.00298435,41,,,,
0.00017772,34,,,,
0.00033075,34,,,,
0.00089629,36,,,,
0.00159819,34,,,,
0.00001986,35,,,,
0.00111321,38,,,,
0.00008956,34,,,,
0.00016742,34,,,,
0.00008858,35,,,,
0.00023129,38,,,,
0.00104239,38,,,,
0.00162115,40,,,,
0.00080515,40,,,,
0.00236464,38,,,,
0.00085919,37,,,,
0.01317945,29,,,,
0.00188029,36,,,,
0.00053318,38,,,,
0.00013843,35,,,,
0.00453786,39,,,,
0.00029725,39,,,,
0.00133642,37,,,,
0.00160022,39,,,,
0.00005062,40,,,,
0.00028677,34,,,,
0.00002678,38,,,,
0.00004635,35,,,,
0.00000655,35,,,,
0.00032236,37,,,,
0.00092571,37,,,,
0.00169685,34,,,,
0.0012498,38,,,,
0.00143647,36,,,,
0.0021413,40,,,,
0.00065469,39,,,,
0.00024553,34,,,,
0.00040616,40,,,,
0.00196992,37,,,,
0.00023259,41,,,,
0.00090438,37,,,,
0.00027935,41,,,,
0.00009462,35,,,,
0.00132214,39,,,,
0.00135568,38,,,,
0.00054475,38,,,,
0.00010067,37,,,,
0.00076643,40,,,,
0.0000611,37,,,,
0.00010478,38,,,,
0.00006808,41,,,,
0.00010584,37,,,,
0.00014346,38,,,,
0.00011932,35,,,,
0.00350177,37,,,,
0.00776753,37,,,,
0.00171095,38,,,,
0.00083367,37,,,,
0.00002026,37,,,,
0.00029687,40,,,,
0.00010742,35,,,,
0.00054456,40,,,,
0.00043606,35,,,,
0.00267663,36,,,,
0.00119735,38,,,,
0.00140488,36,,,,
0.00393976,36,,,,
0.00098647,37,,,,
0.00026224,40,,,,
0.00004661,37,,,,
0.00061636,39,,,,
0.0014229,36,,,,
0.00046376,38,,,,
0.00055878,38,,,,
0.0001788,34,,,,
0.00020858,34,,,,
0.00003596,41,,,,
0.00100055,36,,,,
0.00087789,38,,,,
0.00788584,38,,,,
0.0002029,34,,,,
0.0220371,38,,,,
0.0001232,34,,,,
0.00168693,37,,,,
0.00009543,39,,,,
0.00045166,40,,,,
0.00109744,35,,,,
0.00137766,36,,,,
0.00036097,34,,,,
0.00013716,34,,,,
0.00018197,35,,,,
0.00062985,35,,,,
0.00054007,36,,,,
0.00037176,39,,,,
0.00014847,38,,,,
0.00100125,36,,,,
0.00244735,38,,,,
0.00246365,37,,,,
0.00046744,38,,,,
0.0001623,38,,,,
0.00056176,39,,,,
0.00002497,34,,,,
0.00355351,38,,,,
0.00026602,37,,,,
0.00181078,29,,,,
0.0001205,34,,,,
0.00509699,38,,,,
0.00025715,35,,,,
0.00032264,34,,,,
0.00044917,38,,,,
0.00199371,36,,,,
0.00498897,39,,,,
0.00288001,36,,,,
0.00041379,37,,,,
0.00255988,40,,,,
0.00147289,37,,,,
0.00240294,39,,,,
0.0001995,38,,,,
0.00015951,38,,,,
0.00067106,38,,,,
0.0015398,36,,,,
0.00048446,37,,,,
0.00189625,36,,,,
0.00049848,39,,,,
0.00032538,37,,,,
0.00047769,38,,,,
0.00318128,37,,,,
0.00006901,35,,,,
0.00006989,37,,,,
0.00006523,37,,,,
0.00051314,36,,,,
0.00012396,37,,,,
0.00001229,35,,,,
0.00209064,37,,,,
0.00191656,36,,,,
0.00214951,35,,,,
0.00052111,38,,,,
0.00026907,34,,,,
0.00022688,34,,,,
0.00006896,34,,,,
0.00703071,37,,,,
0.00083052,37,,,,
0.00071356,35,,,,
0.00113912,39,,,,
0.00329373,36,,,,
0.0031046,36,,,,
0.00034376,39,,,,
0.00240707,39,,,,
0.00008364,39,,,,
0.00009014,39,,,,
0.00073237,39,,,,
0.00064485,38,,,,
0.00079232,35,,,,
0.00132499,37,,,,
0.00475607,38,,,,
0.00088405,37,,,,
0.00012735,36,,,,
0.000427,39,,,,
0.0000518,40,,,,
0.00047222,37,,,,
0.00049572,39,,,,
0.0002324,39,,,,
0.00008268,37,,,,
0.00077584,41,,,,
0.00131175,43,,,,
0.00267531,38,,,,
0.00122759,39,,,,
0.01770607,42,,,,
0.00097602,39,,,,
0.00070437,39,,,,
0.00211571,35,,,,
0.00007172,35,,,,
0.00023929,38,,,,
0.00163225,36,,,,
0.0002418,35,,,,
0.00036078,39,,,,
0.00160464,40,,,,
0.00578632,39,,,,
0.00025799,37,,,,
0.00026787,39,,,,
0.00020839,36,,,,
0.00022587,38,,,,
0.00099991,39,,,,
0.00265323,37,,,,
0.0124539,37,,,,
0.00310459,35,,,,
0.00186217,36,,,,
0.00909226,29,,,,
0.00000985,35,,,,
0.00002086,35,,,,
0.0003016,37,,,,
0.00024801,38,,,,
0.00216753,39,,,,
0.28135216,36,,,,
0.00022443,38,,,,
0.00109606,39,,,,
0.00320143,38,,,,
0.00103851,37,,,,
0.00034714,37,,,,
0.00027127,35,,,,
0.00280801,39,,,,
0.00302148,38,,,,
0.00023678,35,,,,
0.00097575,38,,,,
0.00342271,36,,,,
0.00185829,37,,,,
0.00027144,38,,,,
0.00006367,35,,,,
0.00233321,29,,,,
0.00049887,37,,,,
0.00460994,43,,,,
0.00067189,39,,,,
0.00030413,40,,,,
0.02248451,34,,,,
0.00108401,37,,,,
0.00017231,34,,,,
0.00035775,34,,,,
0.00212327,37,,,,
0.00138614,39,,,,
0.00011867,35,,,,
0.00093496,35,,,,
0.00004343,35,,,,
0.00066322,38,,,,
0.000029,38,,,,
0.00474367,38,,,,
0.00015647,35,,,,
0.00027106,40,,,,
0.00178899,41,,,,
0.00025933,40,,,,
0.00104692,38,,,,
0.00586778,41,,,,
0.00003587,38,,,,
0.00012344,37,,,,
0.00005584,38,,,,
0.00012431,37,,,,
0.00030685,36,,,,
0.00002558,41,,,,
0.00023088,38,,,,
0.00022969,39,,,,
0.00154247,41,,,,
0.00014687,37,,,,
0.01503488,34,,,,
0.00009851,35,,,,
0.00000276,35,,,,
0.00028223,34,,,,
0.01265111,37,,,,
0.00011994,41,,,,
0.00128817,36,,,,
0.00001299,35,,,,
0.00012992,34,,,,
0.00013644,38,,,,
0.00099192,39,,,,
0.00025864,39,,,,
0.00859784,35,,,,
0.00021233,40,,,,
0.00242775,39,,,,
0.00044845,37,,,,
0.00172948,37,,,,
0.00157888,37,,,,
0.00193693,35,,,,
0.00030717,34,,,,
0.00132253,36,,,,
0.00170098,37,,,,
0.00034895,39,,,,
0.00620708,43,,,,
0.00014436,36,,,,
0.00030445,41,,,,
0.00107179,36,,,,
0.00124991,36,,,,
0.04086748,38,,,,
0.00003662,39,,,,
0.00012541,40,,,,
0.00006649,37,,,,
0.00000894,35,,,,
0.00056021,37,,,,
0.00068113,38,,,,
0.00411016,39,,,,
0.0365983,36,,,,
0.00233193,36,,,,
0.00480572,41,,,,
0.00031136,38,,,,
0.00085219,41,,,,
0.00002902,35,,,,
0.00008619,35,,,,
0.0001745,37,,,,
0.06034552,39,,,,
0.00035087,39,,,,
0.00153494,38,,,,
0.00043211,38,,,,
0.00122987,39,,,,
0.001091,37,,,,
0.00081856,37,,,,
0.00088954,38,,,,
0.00053263,41,,,,
0.00014305,38,,,,
0.00035486,39,,,,
0.00067927,39,,,,
0.00089698,36,,,,
0.0005788,38,,,,
0.00128285,38,,,,
0.00100308,37,,,,
0.00030413,41,,,,
0.00033576,39,,,,
0.00063002,41,,,,
0.00017297,38,,,,
0.00002677,40,,,,
0.00001372,35,,,,
0.00013032,36,,,,
0.00031621,35,,,,
0.2390639,42,,,,
0.00269104,38,,,,
0.00055118,38,,,,
0.00006752,39,,,,
0.00036129,38,,,,
0.00038738,34,,,,
0.00177176,38,,,,
0.00010517,35,,,,
0.00072348,37,,,,
0.00031422,38,,,,
0.00081011,37,,,,
0.00039306,34,,,,
0.00107143,39,,,,
0.00359749,38,,,,
0.00080578,37,,,,
0.00114477,35,,,,
0.00012976,35,,,,
0.00057369,40,,,,
0.00008077,35,,,,
0.00035281,35,,,,
0.00056358,39,,,,
0.00048632,41,,,,
0.00081818,36,,,,
0.00022379,35,,,,
0.00120341,37,,,,
0.00155703,38,,,,
0.00748784,41,,,,
0.00108245,36,,,,
0.00513254,38,,,,
0.00075167,38,,,,
0.00023908,41,,,,
0.00038728,39,,,,
0.00039975,37,,,,
0.00040855,35,,,,
0.0000406,37,,,,
0.00030022,36,,,,
0.00018922,29,,,,
0.00003382,35,,,,
0.00071689,36,,,,
0.00004319,34,,,,
0.01731941,37,,,,
0.00042211,39,,,,
0.00315498,36,,,,
0.00156991,40,,,,
0.00002834,39,,,,
0.0002824,39,,,,
0.00065486,39,,,,
0.0004937,40,,,,
0.00091337,36,,,,
0.00025529,38,,,,
0.00068324,36,,,,
0.00002588,35,,,,
0.00071297,39,,,,
0.00402804,36,,,,
0.00431666,37,,,,
0.00012808,38,,,,
0.00038186,37,,,,
0.00207464,38,,,,
0.00000921,35,,,,
0.0000206,34,,,,
0.00001098,34,,,,
0.00045423,35,,,,
0.00017084,37,,,,
0.00003946,35,,,,
0.00041185,38,,,,
0.00191237,36,,,,
0.00036033,38,,,,
0.00401044,38,,,,
0.00194388,38,,,,
0.00042335,38,,,,
0.00040287,35,,,,
0.00050961,39,,,,
0.00909877,39,,,,
0.00131359,38,,,,
0.00481077,38,,,,
0.00014494,41,,,,
0.00021158,41,,,,
0.0016094,37,,,,
0.0002346,38,,,,
0.00009639,37,,,,
0.00001499,34,,,,
0.00002921,39,,,,
0.00000644,34,,,,
0.00243464,39,,,,
0.00770282,34,,,,
0.00101636,38,,,,
0.0015489,36,,,,
0.00063001,37,,,,
0.0000276,41,,,,
