following per capita,median age,,,,
0.00001297,38,,,,
0.00005547,38,,,,
0.00004434,36,,,,
0.00014053,39,,,,
0.00043576,36,,,,
0.00000042,38,,,,
0.00000231,34,slope,-67.9357684,37.23475485,intercept
0.0000481,35,plus or minus,135.476758,0.105595107,plus or minus
0.00004397,35,r^2,0.000539321,2.19496092,s(y)
0.00006447,38,F,0.251459121,466,degrees of freedom
0.00128836,38,regression ss,1.211493191,2245.119703,residual ss
0.00118748,39,,,,
0.00000204,35,,,,
0.00000887,34,,,,
0.00000761,41,,,,
0.00000338,39,,,,
0.00040399,37,,,,
0.00004299,40,,,,
0.00009328,37,,,,
0.00010161,38,,,,
0.00028065,38,,,,
0.00009268,38,,,,
0.00002776,34,,,,
0.00003437,29,,,,
0.00001311,37,,,,
0.0000159,35,,,,
0.00002559,36,,,,
0.00074566,37,,,,
0.00006276,41,,,,
0.00374819,38,,,,
0.0005713,41,,,,
0.00062411,37,,,,
0.00022461,35,,,,
0.00068169,34,,,,
0.00000974,36,,,,
0.00013116,40,,,,
0.00040197,35,,,,
0.0007843,39,,,,
0.00017633,38,,,,
0.00041506,38,,,,
0.00010503,37,,,,
0.00009149,40,,,,
0.00020961,38,,,,
0.00000078,36,,,,
0.00003167,39,,,,
0.00006061,38,,,,
0.00014689,36,,,,
0.00001126,37,,,,
0.00013732,37,,,,
0.00000099,35,,,,
0.00000183,35,,,,
0.00070427,39,,,,
0,37,,,,
0.00002425,38,,,,
0.00046771,39,,,,
0.00007688,39,,,,
0.00001889,35,,,,
0.00018595,38,,,,
0.00006724,37,,,,
0.00004782,37,,,,
0.00003706,36,,,,
0.00009976,36,,,,
0.00004735,39,,,,
0.0000405,38,,,,
0.00020982,35,,,,
0.00039006,43,,,,
0.0000186,35,,,,
0.00001011,38,,,,
0.00000601,41,,,,
0.00110886,38,,,,
0.00043443,41,,,,
0.00002402,34,,,,
0.00011386,34,,,,
0.0000088,36,,,,
0.00033262,34,,,,
0.00000706,35,,,,
0.00005811,38,,,,
0.00005655,34,,,,
0.00005528,34,,,,
0.00000738,35,,,,
0.00011776,38,,,,
0.00004664,38,,,,
0.00048545,40,,,,
0.0000133,40,,,,
0.0000572,38,,,,
0.00008051,37,,,,
0.00801049,29,,,,
0.00029171,36,,,,
0.00001912,38,,,,
0.0000219,35,,,,
0.00081069,39,,,,
0.00006268,39,,,,
0.00010219,37,,,,
0.0001147,39,,,,
0.00003212,40,,,,
0.00001575,34,,,,
0.00000155,38,,,,
0.00003004,35,,,,
0.00000185,35,,,,
0.00007167,37,,,,
0.00031204,37,,,,
0.00007456,34,,,,
0.00014148,38,,,,
0.00140227,36,,,,
0.00016844,40,,,,
0.00009652,39,,,,
0.00001054,34,,,,
0.00000228,40,,,,
0.00005331,37,,,,
0.00000713,41,,,,
0.0000384,37,,,,
0.00004436,41,,,,
0.0000284,35,,,,
0.00045015,39,,,,
0.00024173,38,,,,
0.00006272,38,,,,
0.0000287,37,,,,
0.00003741,40,,,,
0.00002424,37,,,,
0.0000123,38,,,,
0.00005037,41,,,,
0.0000996,37,,,,
0.00001182,38,,,,
0.00000604,35,,,,
0.00041489,37,,,,
0.00029204,37,,,,
0.00003239,38,,,,
0.00045863,37,,,,
0.00000086,37,,,,
0.0001108,40,,,,
0.00001087,35,,,,
0.00006889,40,,,,
0.00000327,35,,,,
0.00003113,36,,,,
0.00063267,38,,,,
0.00018508,36,,,,
0.00115498,36,,,,
0.00012732,37,,,,
0.00000197,40,,,,
0.00007887,37,,,,
0.00009725,39,,,,
0.0000364,36,,,,
0.00007863,38,,,,
0.0000977,38,,,,
0.00002816,34,,,,
0.00004891,34,,,,
0.00000888,41,,,,
0.00005476,36,,,,
0.000018,38,,,,
0.00046357,38,,,,
0.00003523,34,,,,
0.00490742,38,,,,
0.00000195,34,,,,
0.00001185,37,,,,
0.00001217,39,,,,
0.00001449,40,,,,
0.00010611,35,,,,
0.00003489,36,,,,
0.00001066,34,,,,
0.00000084,34,,,,
0.00016122,35,,,,
0.00031038,35,,,,
0.00007994,36,,,,
0.00028058,39,,,,
0.00000831,38,,,,
0.00037797,36,,,,
0.00007546,38,,,,
0.00121091,37,,,,
0.00004624,38,,,,
0.00000351,38,,,,
0.00002574,39,,,,
0.00000899,34,,,,
0.00002003,38,,,,
0.00005621,37,,,,
0.00001339,29,,,,
0.00001459,34,,,,
0.00027156,38,,,,
0.0000051,35,,,,
0.00000859,34,,,,
0.00005919,38,,,,
0.00019993,36,,,,
0.00080515,39,,,,
0.00012504,36,,,,
0.00000534,37,,,,
0.00017208,40,,,,
0.00004646,37,,,,
0.00043235,39,,,,
0.00001713,38,,,,
0.00003256,38,,,,
0.00006512,38,,,,
0.00002703,36,,,,
0.00013755,37,,,,
0.0004851,36,,,,
0.00026912,39,,,,
0.00013109,37,,,,
0.00005699,38,,,,
0.00006538,37,,,,
0.00001876,35,,,,
0,37,,,,
0.00001238,37,,,,
0.00016401,36,,,,
0.00007027,37,,,,
0.00000038,35,,,,
0.00011293,37,,,,
0.00017089,36,,,,
0.00064653,35,,,,
0.00001244,38,,,,
0.00001121,34,,,,
0.00003177,34,,,,
0.00000469,34,,,,
0.0000602,37,,,,
0.00001196,37,,,,
0.0000322,35,,,,
0.0004554,39,,,,
0.00156222,36,,,,
0.00007558,36,,,,
0.00004681,39,,,,
0.00001389,39,,,,
0.0001119,39,,,,
0.00001378,39,,,,
0.00008933,39,,,,
0.00000387,38,,,,
0.00003479,35,,,,
0.00013405,37,,,,
0.00001576,38,,,,
0.00003507,37,,,,
0.00008464,36,,,,
0.0000901,39,,,,
0.00000827,40,,,,
0.0000636,37,,,,
0.00001054,39,,,,
0.00023573,39,,,,
0.00000342,37,,,,
0.00060942,41,,,,
0.00016566,43,,,,
0.00035227,38,,,,
0.00001001,39,,,,
0.00008786,42,,,,
0,39,,,,
0.00041026,39,,,,
0.00001672,35,,,,
0.00000099,35,,,,
0.00001791,38,,,,
0.00002912,36,,,,
0.0000142,35,,,,
0.00001444,39,,,,
0.0000859,40,,,,
0.00144065,39,,,,
0.0001539,37,,,,
0.00001863,39,,,,
0.00002287,36,,,,
0.00015791,38,,,,
0.00039317,39,,,,
0.00006459,37,,,,
0.01101773,37,,,,
0.00031633,35,,,,
0.0001077,36,,,,
0.00072287,29,,,,
0.00001812,35,,,,
0.00003253,35,,,,
0.00011025,37,,,,
0.00017071,38,,,,
0.00001023,39,,,,
0.00004443,36,,,,
0.00000294,38,,,,
0.00007437,39,,,,
0.00003687,38,,,,
0.00009115,37,,,,
0.00001353,37,,,,
0.00014049,35,,,,
0.00005221,39,,,,
0.00000104,38,,,,
0.00000566,35,,,,
0.000022,38,,,,
0.00037925,36,,,,
0.00021442,37,,,,
0.00000712,38,,,,
0.00000129,35,,,,
0.00003365,29,,,,
0.00012274,37,,,,
0.00000527,43,,,,
0.00004098,39,,,,
0.00003527,40,,,,
0.0004507,34,,,,
0.00036843,37,,,,
0.00000322,34,,,,
0.00008904,34,,,,
0.00076297,37,,,,
0.00005961,39,,,,
0.00003723,35,,,,
0.00029602,35,,,,
0.00000467,35,,,,
0.00023543,38,,,,
0.00000031,38,,,,
0.0000214,38,,,,
0,35,,,,
0.00002921,40,,,,
0.00009984,41,,,,
0.00003976,40,,,,
0.0008893,38,,,,
0.00040043,41,,,,
0.00001404,38,,,,
0.00015679,37,,,,
0.00001626,38,,,,
0.0000199,37,,,,
0.00027779,36,,,,
0.00000239,41,,,,
0.00003999,38,,,,
0.00000183,39,,,,
0.00000388,41,,,,
0.00000094,37,,,,
0.00006811,34,,,,
0.00000478,35,,,,
0,35,,,,
0.00009699,34,,,,
0.0002629,37,,,,
0.00000915,41,,,,
0.0001274,36,,,,
0.000004,35,,,,
0.00005186,34,,,,
0.00003437,38,,,,
0.00005607,39,,,,
0,39,,,,
0.00000679,35,,,,
0.00000378,40,,,,
0.00014284,39,,,,
0.00024363,37,,,,
0.00024575,37,,,,
0.00005658,37,,,,
0.00032267,35,,,,
0.00001881,34,,,,
0.00001352,36,,,,
0.00041478,37,,,,
0.00003167,39,,,,
0.00019127,43,,,,
0.00004414,36,,,,
0.00004947,41,,,,
0.00043512,36,,,,
0.00039607,36,,,,
0.00005209,38,,,,
0.00002036,39,,,,
0.00002803,40,,,,
0.00008296,37,,,,
0.00000497,35,,,,
0.00011394,37,,,,
0.00013825,38,,,,
0,39,,,,
0.00004961,36,,,,
0.00014581,36,,,,
0.00033675,41,,,,
0.00007375,38,,,,
0.00005064,41,,,,
0.00000553,35,,,,
0.00001039,35,,,,
0.0000092,37,,,,
0.00000018,39,,,,
0.00001548,39,,,,
0.00060209,38,,,,
0.00016228,38,,,,
0.0000852,39,,,,
0.00045918,37,,,,
0.00032616,37,,,,
0.00002852,38,,,,
0.00022988,41,,,,
0.00000661,38,,,,
0.00004135,39,,,,
0.00008985,39,,,,
0.00029098,36,,,,
0.0002031,38,,,,
0.00017762,38,,,,
0.00046252,37,,,,
0.00007494,41,,,,
0.00000387,39,,,,
0.00000484,41,,,,
0.00004649,38,,,,
0.00002307,40,,,,
0.00000003,35,,,,
0.00004787,36,,,,
0.00032209,35,,,,
0.00177955,42,,,,
0.00143591,38,,,,
0.00010586,38,,,,
0.00002901,39,,,,
0.00001889,38,,,,
0.0000235,34,,,,
0.00002657,38,,,,
0.00000038,35,,,,
0.00006297,37,,,,
0.00000795,38,,,,
0.00010007,37,,,,
0.00014229,34,,,,
0.00023675,39,,,,
0.00002008,38,,,,
0.00003063,37,,,,
0.00002168,35,,,,
0.00002053,35,,,,
0.00005542,40,,,,
0.00002035,35,,,,
0.0000224,35,,,,
0.00001774,39,,,,
0.00031763,41,,,,
0.00007612,36,,,,
0.00002013,35,,,,
0.00005307,37,,,,
0.00015427,38,,,,
0.00432903,41,,,,
0.00021324,36,,,,
0.00009643,38,,,,
0.00006632,38,,,,
0.00002702,41,,,,
0.00007012,39,,,,
0.0000327,37,,,,
0.00002085,35,,,,
0.00001629,37,,,,
0.00007572,36,,,,
0.00008864,29,,,,
0.00001621,35,,,,
0.00004213,36,,,,
0.00000704,34,,,,
0.00032678,37,,,,
0.00002596,39,,,,
0.00025082,36,,,,
0.00129854,40,,,,
0.00001846,39,,,,
0.0000475,39,,,,
0.00010217,39,,,,
0.00002173,40,,,,
0.00003924,36,,,,
0.00006187,38,,,,
0.00022112,36,,,,
0.00002072,35,,,,
0.0002416,39,,,,
0.00003718,36,,,,
0.00000243,37,,,,
0.00000557,38,,,,
0.00012307,37,,,,
0.00037738,38,,,,
0.00000166,35,,,,
0.00001372,34,,,,
0.0000008,34,,,,
0.00002306,35,,,,
0,37,,,,
0.00000346,35,,,,
0.00002904,38,,,,
0.00009302,36,,,,
0.00003825,38,,,,
0.00006526,38,,,,
0.00003915,38,,,,
0.00005297,38,,,,
0.00004511,35,,,,
0.00003238,39,,,,
0.00119753,39,,,,
0.00077765,38,,,,
0.0013952,38,,,,
0.00001713,41,,,,
0.00005271,41,,,,
0.00021536,37,,,,
0.00009033,38,,,,
0.00002668,37,,,,
0.00000298,34,,,,
0.00001898,39,,,,
0.0000033,34,,,,
0.00003451,39,,,,
0.00045211,34,,,,
0.00004771,38,,,,
0.00019488,36,,,,
0.00005136,37,,,,
0.00000037,41,,,,
